toxic,nontoxic,bart,custom_transformer,bart_rouge1,bart_rouge2,bart_rougeL,bart_rougeLsum,bart_meteor,bart_bleu,bart_wer,custom_transformer_rouge1,custom_transformer_rouge2,custom_transformer_rougeL,custom_transformer_rougeLsum,custom_transformer_meteor,custom_transformer_bleu,custom_transformer_wer,toxic_toxicity,nontoxic_toxicity,bart_toxicity,custom_transformer_toxicity
Swear on your sisters' beauty. - Fuck you.,swear on your sister's beauty.,swear on your sisters' beauty.,swear to your beauty ... my beauty.,0.727,0.444,0.727,0.727,0.841,0.0,0.2,0.5,0.0,0.5,0.5,0.445,0.0,0.8,0.0114,0.0027,0.0018,0.0018
I don't fucking-- It's detergent.,it's... laundry detergent.,I don't-- it's detergent.,i do n't stand here.,0.6,0.25,0.6,0.6,0.605,0.0,1.0,0.0,0.0,0.0,0.0,0.083,0.0,1.667,0.0002,0.0002,0.0002,0.0003
But I mean... It's weird shit going on.,but weird things happen.,but I mean... it's a little weird.,"but i mean , it 's really going on.",0.333,0.0,0.333,0.333,0.273,0.0,1.5,0.167,0.0,0.167,0.167,0.182,0.0,2.0,0.0002,0.0003,0.0002,0.0049
"What the hell happened to you, friend?","man, what happened to you?","what happened to you, buddy?","what happened to you , friend?",0.8,0.75,0.8,0.8,0.804,0.455,0.6,0.8,0.75,0.8,0.8,0.804,0.455,0.8,0.0001,0.0003,0.0106,0.0009
The whore Canthara tells of how she saw you come from Kore's tent.,Dika Cantara told me how she saw you go from Kore's tent.,canthara says she saw you coming out of Kore's tent.,the girl wants to tell you how more she gets proud of dr.,0.5,0.364,0.5,0.5,0.501,0.0,0.667,0.231,0.0,0.154,0.154,0.179,0.0,1.083,0.9987,0.0312,0.1565,0.0035
I will park wherever I goddamn well please.,I'll park wherever I want.,I'll park where I want.,i 'll park where i please please.,0.833,0.6,0.833,0.833,0.841,0.0,0.2,0.615,0.364,0.615,0.615,0.628,0.0,1.0,0.0002,0.0002,0.0002,0.0008
"My name's Elijha, who the hell are you?","my name is Eliyha, and who are you?","my name's Elijha, who are you?","my name 's screaming , who are you?",0.667,0.462,0.667,0.667,0.679,0.298,0.5,0.667,0.462,0.667,0.667,0.679,0.33,0.375,0.0376,0.0029,0.0029,0.0503
"Dummy, it's me.","jerk, it's me.",it's me.,you 're making me a mess.,0.857,0.8,0.857,0.857,0.684,0.0,0.333,0.2,0.0,0.2,0.2,0.164,0.0,2.0,0.0002,0.0087,0.0043,0.2773
"Shit, we should have done that.","hell, we should have.",we should have done that.,we should have done this.,0.667,0.571,0.667,0.667,0.625,0.0,1.0,0.667,0.571,0.667,0.667,0.625,0.0,1.0,0.0002,0.0245,0.0002,0.0004
"Göring, he was corrupt. Always has been. Speer, an absent-minded artist.","Göring, yes, has always been an expense, Speer, yes, an undetectable artist.","it's always been corrupt, it's just like that, Speer, an","charles , he 's always been a restaurant , an actor.",0.32,0.087,0.32,0.32,0.323,0.0,0.833,0.273,0.1,0.273,0.273,0.294,0.0,0.833,0.0002,0.0002,0.994,0.0087
You think you're hot shit because she spent every waking moment with you?,you think you're a better man because she spent every day with you?,do you think you're a star because she's spending every waking moment with you?,you think you 're hot because she 's gon na spent all those things with you?,0.667,0.429,0.667,0.667,0.706,0.253,0.538,0.6,0.357,0.6,0.6,0.637,0.0,0.769,0.0001,0.0001,0.0001,0.2554
"I don't give a shit about sleeping, Leon.","I have no sleep problems, Leon!","I don't care about sleep, Leon.","i do n't care about prison , leon.",0.462,0.0,0.462,0.462,0.39,0.0,0.833,0.286,0.0,0.286,0.286,0.316,0.0,1.167,0.0002,0.0001,0.0002,0.013
No one knows what the fuck a henge is.,nobody knows what it is.,no one knows what a henge is.,no one knows what 's going on.,0.5,0.2,0.5,0.5,0.605,0.0,0.8,0.333,0.2,0.333,0.333,0.412,0.0,1.0,0.0001,0.0002,0.0001,0.0057
"It's a military operation, and you don't know dick about that.","but it's an operation, a military operation, and you don't even know about it.","it's a military operation, and you don't know anything about it.",it 's a military name and you do n't know anything about it.,0.828,0.593,0.828,0.828,0.744,0.445,0.357,0.667,0.286,0.667,0.667,0.625,0.0,0.571,0.019,0.0015,0.0005,0.0023
"Of course, if history is any indication, my mother will swallow her whole and spit out her bones like an owl.","of course, judging by the past, the mother swallows her whole, and only throws out bones like an owl.","of course, if history is any indication, my mom will swallow her whole and","of course , if the history is just done the mother 's dead , and his dead boy gave her eyes.",0.303,0.194,0.303,0.303,0.315,0.0,0.895,0.368,0.111,0.316,0.316,0.388,0.0,0.895,0.023,0.0422,0.4876,0.0905
"Let's go, we got shit to do.","come on, we got work to do.","let's go, we have to go.","let 's go , we have to do anything.",0.286,0.0,0.286,0.286,0.413,0.0,0.714,0.4,0.154,0.4,0.4,0.562,0.0,1.143,0.0001,0.0002,0.0006,0.0112
"Get off the fucking net!""","get the hell out of the net! ""","then get off the net! ""","get out , just put the door! """,0.5,0.2,0.5,0.5,0.55,0.327,0.625,0.462,0.0,0.462,0.462,0.413,0.0,0.625,0.0033,0.0854,0.2341,0.0624
"They're just insecure, so they've got to make everybody else feel as shitty as they do.","they're just booed, so they're trying to make everyone feel as bad as they feel.",they're just so insecure that they have to make everyone else feel like they do.,"they 're just smiling so much , they feel like everyone else as they feel bad.",0.606,0.258,0.606,0.606,0.425,0.0,0.667,0.688,0.267,0.562,0.562,0.482,0.0,0.867,0.0002,0.0254,0.0317,0.0046
I'm never going to apologize to that wench even if I die!,I'll never forgive a girl even if I die!,"I'll never be sorry for her, even if I die.","i 'm not gon na listen to her , even if i had a woman!",0.667,0.526,0.667,0.667,0.618,0.252,0.556,0.417,0.182,0.333,0.333,0.444,0.0,1.333,0.7283,0.9996,0.0002,0.6503
I'll cut her.,I'll take her out.,I'll cut it!,i 'll stop.,0.444,0.286,0.444,0.444,0.318,0.0,0.75,0.5,0.333,0.5,0.5,0.441,0.0,1.0,0.0002,0.0003,0.0001,0.0206
"your sickness, your disgusting need...","his illness, an unsavoury need...","your illness, your desperate need...","in your in trouble , in trouble.",0.4,0.0,0.4,0.4,0.536,0.355,0.6,0.0,0.0,0.0,0.0,0.07,0.0,1.4,0.8801,0.0308,0.0186,0.0253
You brought me up here to show me your penis.,I'm here for you to show me your pen!,you brought me here to see your penis.,you brought me here to show me your hand.,0.556,0.0,0.333,0.333,0.231,0.0,0.778,0.632,0.353,0.526,0.526,0.516,0.291,0.556,0.9562,0.0002,0.9859,0.0011
Don't listen to his nonsense.,don't listen to them.,don't listen.,do n't listen to him.,0.75,0.667,0.75,0.75,0.647,0.0,0.75,0.545,0.444,0.545,0.545,0.807,0.0,0.75,0.0001,0.0126,0.0262,0.0159
I've forgiven you. I have stood by you. I've forsaken every single one of my desires in the name of your ridiculous redemption.,"I have forgiven you, I have stood by you, in the name of your ridiculous salvation, I have denied everything I wanted.","I've forgiven you, I've forsaken all of my desires, for the sake of","i 've been by by by by by the case , i 've been able to live in the name of my name.",0.324,0.114,0.324,0.324,0.212,0.0,0.864,0.318,0.143,0.273,0.273,0.226,0.119,0.955,0.0002,0.0011,0.0002,0.0024
I can't believe you're gonna sit there and pretend to be all noble about this shit.,I can't believe you're gonna sit here and play noble.,I can't believe you're sitting here and pretending you're noble.,i ca n't believe you 're gon na sit there and be so much about everything.,0.72,0.522,0.72,0.72,0.767,0.317,0.4,0.483,0.222,0.483,0.483,0.761,0.0,1.2,0.0002,0.0001,0.0001,0.058
"Goddamn, boy, you're about as big as a mountain.","oh my God, you're a mountain!","God, you're about as big as a mountain.",you 're like a big men and both of america.,0.625,0.429,0.625,0.625,0.64,0.0,1.167,0.353,0.133,0.353,0.353,0.278,0.0,1.667,0.0001,0.0001,0.0001,0.2755
"In fact, that's why it pisses me off—I don't like working for a prime minister who's so damned petty.",and it just annoys me - I don't like working for a prime minister who is so outrageously petty.,"in fact, that's why it bothers me so much that I don't like working","in fact , that 's why i do n't like my son of huge office who 's working for a restaurant.",0.457,0.242,0.4,0.4,0.418,0.136,0.947,0.35,0.158,0.3,0.3,0.408,0.0,0.947,0.0001,0.0001,0.0002,0.0427
Lucky bastard.,he was lucky.,you're lucky.,he 's lucky.,0.333,0.0,0.333,0.333,0.469,0.0,0.667,0.667,0.0,0.667,0.667,0.639,0.0,0.333,0.0002,0.0003,0.0004,0.122
Promptly ignore her ass.,ignore her completely.,soververgely ignore her.,ignore her.,0.667,0.5,0.667,0.667,0.639,0.0,1.0,0.8,0.667,0.8,0.8,0.655,0.0,0.667,0.016,0.0207,0.0034,0.039
They're gonna make me kill again.,it's gonna make me do it again.,they'll do it again.,they 'll make me do it again.,0.462,0.364,0.462,0.462,0.413,0.367,0.571,0.667,0.615,0.667,0.667,0.611,0.68,0.286,0.0044,0.0114,0.0012,0.0365
Why am I the fucking problem?,why do you have a problem with me?,why am I the one?,why do i mean?,0.154,0.0,0.154,0.154,0.115,0.0,0.875,0.333,0.2,0.333,0.333,0.297,0.0,0.75,0.0002,0.0002,0.0002,0.0003
What the fuck are in the sausages you eat? Anti-freeze?,"hell, what are you eating for a sausage that you don't get cold?",what's in the sausages you eat?,"what are you wearing the navy , eat?",0.19,0.0,0.19,0.19,0.164,0.0,0.923,0.286,0.211,0.286,0.286,0.279,0.0,0.769,0.0001,0.0007,0.0001,0.0023
You strong-armed me using the only weapon you have... your pussy.,you attacked me with the only weapon you've got.,you're the one who pulled me out of it with the only gun you have.,you made me many security president tell me you have your gun.,0.462,0.167,0.462,0.462,0.493,0.0,1.222,0.273,0.0,0.273,0.273,0.179,0.0,1.111,0.9991,0.0061,0.0141,0.0454
That prick's been dodging me for three weeks.,he's been avoiding me for three weeks.,he's been avoiding me for three weeks.,he 's been avoiding me for three weeks.,1.0,1.0,1.0,1.0,0.999,1.0,0.0,1.0,1.0,1.0,1.0,0.999,0.726,0.286,0.0001,0.0007,0.0007,0.0378
"You can buy plenty of blondes with big, fake tits for twenty.",twenty thousand bucks buys a bunch of silicone blondes.,"you can buy plenty of blondes with big, fake tic for twenty","you can buy a lot of pitfalls , with a tough guy.",0.286,0.0,0.19,0.19,0.194,0.0,1.333,0.2,0.0,0.2,0.2,0.361,0.0,1.222,0.9975,0.9306,0.9943,0.0076
"""I've seen you high on that crap.","""I've seen you before when you've worn that humus.","""I've seen you high on it.",""" i 've seen you in high this bad.",0.444,0.375,0.444,0.444,0.338,0.251,0.667,0.421,0.353,0.421,0.421,0.336,0.0,1.0,0.0001,0.0002,0.0004,0.0245
"We all get shit-faced, then we all go home, got it?","we all get wasted and then we go home, okay?","we get dressed, we go home, got it?","we 've got a lot of things , then we go home , have it?",0.556,0.25,0.556,0.556,0.533,0.246,0.6,0.435,0.286,0.435,0.435,0.605,0.249,1.1,0.001,0.0042,0.0005,0.0031
This man's locked in! How stupid!,the man's locked up!,the man's locked in!,this man 's locked in.,0.8,0.75,0.8,0.8,0.807,0.0,0.25,0.6,0.5,0.6,0.6,0.491,0.0,1.0,0.0001,0.0002,0.0005,0.0852
"Don't run into any damn whales or anything,' said Vimes, and strode up to the sharp end.","make sure you don't hit a whale or anything, 'said Vimes, moving forward.","don't run into any whales or anything,'said Vimes, stepping forward to the","do n't run into a cigarette , and it said , ' said , ' happy and post - modern decorations , and finally get up.",0.5,0.308,0.5,0.5,0.635,0.325,1.0,0.176,0.0,0.176,0.176,0.296,0.0,2.0,0.0002,0.0017,0.0009,0.0081
Letting little Tony suck on an empty breast.,let Tony drink from an empty chest.,letting Tony suck on an empty breast.,let go let my walk on the empty alarm.,0.429,0.167,0.429,0.429,0.736,0.0,0.571,0.25,0.0,0.25,0.25,0.183,0.0,1.0,0.302,0.0019,0.6774,0.002
Why you want bloody Fruitellas?,why do you want Frutel?,why do you want Fruitellas?,why do you want the streets?,0.8,0.75,0.8,0.8,0.807,0.537,0.2,0.727,0.667,0.727,0.727,0.793,0.435,0.4,0.9835,0.0002,0.0011,0.0001
I know what punishment I'll get a horrible death.,I know what a terrible death awaits me.,I know what punishment I'll get.,i know what left i 'll get a terrible waste.,0.4,0.308,0.4,0.4,0.355,0.0,0.625,0.556,0.375,0.556,0.556,0.556,0.0,0.875,0.0002,0.0001,0.0002,0.0302
Yeah. Some sad shit about his old lady.,"yeah, sad thing about his old one.","yeah, he's sad about his old woman.",some kind of old lady is his lady.,0.667,0.308,0.667,0.667,0.697,0.0,0.429,0.267,0.0,0.133,0.133,0.222,0.0,1.143,0.0001,0.0001,0.0005,0.4143
What crap can she give you when you hold the cards?,how can he wipe you off now that you're holding all the cards?,what does he give you when you hold the cards?,what can she give you when you hold?,0.417,0.091,0.417,0.417,0.392,0.0,0.692,0.273,0.0,0.273,0.273,0.174,0.0,0.846,0.0003,0.0027,0.0006,0.0037
"At first, it appears we're either getting dumb and dumber, or manufacturers are talking down to us.","at first glance, it looks like we're either gonna fool my customers or the producers are talking to us.","at first, it seems like we're either getting on our nerves, or the manufacturers are","first of , they 're either either bad , and they 're just afraid to play with us.",0.556,0.294,0.556,0.556,0.514,0.0,0.579,0.278,0.059,0.278,0.278,0.212,0.0,0.842,0.0001,0.0043,0.0002,0.1414
Stop fuckin' around! Throw it!,stop messing around!,"yes, but stop it!",stop around!,0.286,0.0,0.286,0.286,0.238,0.0,1.333,0.8,0.0,0.8,0.8,0.655,0.0,0.333,0.0002,0.0001,0.0003,0.0014
You made love to me the other night because you had just seen Claire naked.,the only reason you loved me last night was because you saw Claire naked.,"the other night, you made love with me because you saw Claire naked.",you made me like the other night because you had done youtube.,0.667,0.32,0.593,0.593,0.674,0.368,0.5,0.462,0.083,0.385,0.385,0.324,0.0,0.786,0.0002,0.0006,0.014,0.0057
He's not my fucking dad!,he's not my father.,he's not my dad!,he 's not my father.,0.8,0.75,0.8,0.8,0.661,0.0,0.25,1.0,1.0,1.0,1.0,0.998,0.508,0.5,0.0001,0.0008,0.0007,0.067
You getting a lot of satisfaction from those $15 hookers?,is the $15 girl enough to satisfy you?,are you getting a lot of satisfaction from these 15 hookers?,you get a lot of questions from those stories?,0.211,0.0,0.105,0.105,0.147,0.0,1.375,0.118,0.0,0.118,0.118,0.1,0.0,1.125,0.9991,0.0412,0.9792,0.0002
"I won't drink slop.""",I don't want to drink any sewage.,"I won't drink. ""","i 'm not gon na drink. """,0.5,0.0,0.5,0.5,0.116,0.0,0.857,0.286,0.0,0.286,0.286,0.057,0.0,0.857,0.9799,0.0002,0.0529,0.1633
"I forge steel, not trade at fucking ports.","metal steel, I don't trade at ports.","I'm not into steel, I'm not going to trade at port.","i became graham , not sign these creatures.",0.381,0.211,0.381,0.381,0.659,0.0,1.143,0.133,0.0,0.133,0.133,0.152,0.0,1.143,0.0002,0.0002,0.0002,0.0045
What do blacks do there?,what do you want to do there?,what do the blacks do there?,what do they do there?,0.615,0.364,0.615,0.615,0.613,0.0,0.429,0.667,0.4,0.667,0.667,0.621,0.0,0.429,0.9892,0.0002,0.8825,0.0003
Damn itall. Can I... Give me some money.,"give me some money, I'll get some popcorn.",can I... give me some money.,bloody beast can give me a money.,0.667,0.462,0.533,0.533,0.398,0.278,0.875,0.375,0.143,0.375,0.375,0.295,0.0,1.0,0.0002,0.0002,0.0013,0.0665
"Meteor freaks, phantoms... ...or brainiac.","meteor freaks, phantoms...","Meteor spades, phantoms... or a simple thought.","sheriff 's gone , right , or wind.",0.4,0.0,0.4,0.4,0.682,0.332,1.667,0.0,0.0,0.0,0.0,0.093,0.0,2.667,0.0002,0.0002,0.0003,0.0181
"And it's so stupid. I am just saying that it is a throwback, it is sexist, and it sends a completely wrong message to our daughters.","I'm just saying it's a step back, it's sexist and it sends a perfectly bad legacy to our daughters - It's just a barbecue.","I'm not saying it's a throwback, it's not sexist, and it sends","i 'm just saying that is that it 's just an irishman , and that 's just a hundred grand.",0.571,0.4,0.571,0.571,0.316,0.0,0.708,0.435,0.273,0.435,0.435,0.325,0.0,0.875,0.0001,0.0002,0.9922,0.016
We're all condemned to die.,we are all doomed.,we're all condemned to death.,we 're all afraid of us.,0.4,0.0,0.4,0.4,0.607,0.0,1.25,0.4,0.0,0.4,0.4,0.288,0.0,1.0,0.0002,0.0002,0.2775,0.0625
You'd have been spread all over the damn field... like strawberry jam.,you'd be smeared across the field like strawberry jam.,"you'd be spread across the field, like a strawberry jam.",you 'd spread all the light in the field ... like five cents.,0.857,0.632,0.857,0.857,0.864,0.0,0.333,0.455,0.3,0.455,0.455,0.452,0.0,1.111,0.0003,0.0004,0.0004,0.0204
Do you think I'm stupid?!,you think I'm crazy?,do you think I'm an ordinary man?,do you think i 'm bad?,0.615,0.545,0.615,0.615,0.768,0.0,1.0,0.727,0.667,0.727,0.727,0.793,0.0,1.0,0.0002,0.0001,0.0002,0.0052
"Second round, after the bell, he stuck in a sucker punch.",in the second round after the bell he gave me a cut below the belt.,"second round, after the bell, he caught it.","second , after the bell , after the bell , he was in his hand.",0.522,0.476,0.522,0.522,0.309,0.0,0.733,0.519,0.24,0.37,0.37,0.25,0.0,0.867,0.0002,0.0002,0.0003,0.0012
"Looser, please.","more relaxed, please.","please, please.","dj , please.",0.4,0.0,0.4,0.4,0.601,0.0,0.667,0.4,0.0,0.4,0.4,0.601,0.0,0.667,0.0002,0.0002,0.0002,0.0007
I think I can... goddamn guarantee that.,I think I can guarantee this.,I think I can...,i think i can handle this.,0.8,0.75,0.8,0.8,0.584,0.435,0.5,0.833,0.6,0.833,0.833,0.841,0.489,0.167,0.0005,0.0007,0.0002,0.0002
"What the hell, Brenda?","what have you got, Brenda?!","what are you doing, Brenda?","what kind of brenda , brenda?",0.6,0.0,0.6,0.6,0.565,0.0,0.6,0.4,0.0,0.4,0.4,0.475,0.0,1.0,0.0001,0.009,0.001,0.0002
I don't got enough on my fuckin' mind?,don't I have enough to worry about?,I don't have enough on my mind?,i do n't have enough for me?,0.625,0.286,0.5,0.5,0.568,0.0,0.714,0.5,0.143,0.375,0.375,0.574,0.0,0.857,0.0003,0.0002,0.0002,0.0003
We froze our butts together in Korea.,we froze together in Koraji.,we wrapped it up in Korea.,we just left our cigarettes.,0.364,0.0,0.364,0.364,0.246,0.0,0.8,0.2,0.0,0.2,0.2,0.167,0.0,0.8,0.1727,0.0007,0.0012,0.0002
Nothing to do with the fact that I'm the brother of your archenemy.,does it have nothing to do with me being your enemy's brother?,I have nothing to do with the fact that I'm the brother of your enemy.,nothing to do with the fact that i 'm the brother 's the brother 's left.,0.552,0.37,0.483,0.483,0.545,0.249,0.917,0.414,0.222,0.414,0.414,0.393,0.151,1.25,0.0012,0.0382,0.0018,0.021
"And unless you can think of someone that can leave town tomorrow, I'm fucked.","and if you don't think of anyone who can leave tomorrow, I'm in trouble.","and unless you think of someone who can leave town tomorrow, I'm in spades.","and if you do n't think if someone can leave tomorrow for tomorrow , i 'll be able to get out of them",0.71,0.414,0.71,0.71,0.691,0.265,0.357,0.513,0.324,0.462,0.462,0.608,0.0,1.286,0.0004,0.003,0.0015,0.0035
"Prom sucks without all of you, guys.",it's nothing without all of you.,"the promise is meaningless without all of you, guys.",the rules without you.,0.5,0.429,0.5,0.5,0.583,0.248,1.0,0.364,0.0,0.364,0.364,0.332,0.0,0.667,0.0001,0.0004,0.0004,0.001
I had sex with Roger Shepard in a car. - Ooh.,I slept in the car with Roger Shepard.,I had sex with Roger Shepard in the car.,i had courage with roger roger on the car.,0.824,0.533,0.471,0.471,0.824,0.0,1.0,0.588,0.267,0.353,0.353,0.469,0.0,1.0,0.0013,0.0005,0.0016,0.0013
"But in the end, we fucked it all up.","but in the end, we did it all.","but in the end, everything got messed up.","but in the end , we 've got it.",0.5,0.429,0.5,0.5,0.589,0.411,0.5,0.75,0.571,0.75,0.75,0.779,0.556,0.625,0.0606,0.0006,0.0002,0.0041
Holy shit!,"oh, my God!","oh, my God.","oh , my god.",1.0,1.0,1.0,1.0,0.794,0.669,0.333,1.0,1.0,1.0,1.0,0.794,0.669,1.0,0.0002,0.0001,0.0002,0.0003
"Mama, you remember Tara. God killed you too.","mom, do you remember Tara?","Mama, you remember Tara too.","mom , you remember tara ... you have it too.",0.6,0.5,0.6,0.6,0.691,0.0,0.8,0.615,0.364,0.615,0.615,0.603,0.0,1.6,0.0069,0.0012,0.0002,0.001
What do you want me to do? Slit my wrists?,what do you want me to do?,what do you want me to do?,what do you want me to do with the air?,1.0,1.0,1.0,1.0,0.999,1.0,0.0,0.824,0.8,0.824,0.824,0.956,0.59,0.571,0.0002,0.0002,0.0002,0.0002
Yeah? Are you nuts?,you're normal?,"yeah, I mean you?",are you doing this?,0.286,0.0,0.286,0.286,0.238,0.0,2.0,0.286,0.0,0.286,0.286,0.244,0.0,2.0,0.0002,0.0002,0.0001,0.0013
"We got your fax last week about the bank bills, so when we nailed this scum with a bunch of fresh hundreds, thought we'd call you.","last week we got your fax machine, and when we found a man with new hundreds, we called you.","we got your message last week about the bank bills, so when we wrapped them up with","we have the biggest chance about the bank , so we 've gotten into a bunch of hot bunch of trouble and he 's playing cases.",0.444,0.235,0.333,0.333,0.319,0.0,0.842,0.182,0.0,0.136,0.136,0.133,0.0,1.263,0.0014,0.0008,0.0002,0.0112
"You've f**king done this before, right?","you've done this before, haven't you?","you've done this before, right?","you 've done it before , right?",0.714,0.667,0.714,0.714,0.686,0.558,0.333,0.571,0.333,0.571,0.571,0.522,0.0,1.0,0.0001,0.0004,0.0003,0.0076
"Volmer found it fully as satisfying to end up jackrolled in a gutter, Murphied, or badgered as it was to wake up next to an incredibly beautiful and insatiable sex object.","Volmer was fully satisfied when he woke up in that rise in the morning on a hard caveat, with a beautiful, insatiable sexual object beside him.",Volmer found it as satisfying as much as whenever he woke up next to,"steam was sent him as connected to the roof as an system ; spring , or spring , as soon.",0.2,0.105,0.2,0.2,0.208,0.0,0.962,0.14,0.0,0.093,0.093,0.142,0.0,0.923,0.015,0.0379,0.0002,0.0003
I'd rather die in prison than let him loose.,I would have died in prison before he let him go.,I'd rather have him in jail than let him go.,i 'd like you were dead in jail than why.,0.545,0.2,0.545,0.545,0.529,0.237,0.545,0.19,0.0,0.19,0.19,0.126,0.0,0.909,0.0001,0.0001,0.0001,0.5388
Don't fucking look at me! Keep your hands high!,don't look at me and get your hands up!,don't look at me. Keep your hands up.,do n't look at me! keep your hands in high.,0.842,0.706,0.842,0.842,0.722,0.38,0.444,0.571,0.421,0.571,0.571,0.702,0.0,0.778,0.0001,0.0223,0.0002,0.1935
They're all gonna die.,everyone dies.,they all will be dead.,they 're all right.,0.0,0.0,0.0,0.0,0.152,0.0,2.5,0.0,0.0,0.0,0.0,0.156,0.0,2.0,0.0006,0.0036,0.0014,0.0031
"I don't know what the fuck is going on, I gotta go!","I don't know what's going on, I have to run.",I don't know what's going on.,"i do n't know what 's going on , i have to go.",0.8,0.778,0.8,0.8,0.654,0.412,0.5,0.8,0.696,0.8,0.8,1.0,0.387,0.7,0.0001,0.0001,0.0001,0.0041
Saved your ass.,he saved your skin.,I saved you.,i saved you.,0.286,0.0,0.286,0.286,0.204,0.0,0.75,0.286,0.0,0.286,0.286,0.204,0.0,0.75,0.0542,0.0003,0.0002,0.0006
I told you to shut up!,you should be quiet!,I told you to stop!,i told you to be quiet!,0.222,0.0,0.222,0.222,0.196,0.0,1.25,0.6,0.25,0.6,0.6,0.721,0.0,0.75,0.0001,0.0001,0.0001,0.0028
How the hell can I trust a man... ...won't eat a good old-fashioned American hot dog?,how can I trust a guy...... if he doesn't even eat an old American hot dog?,how can I trust a guy who doesn't eat hot dogs?,"how do i believe it 's a man , but i do n't have a old american american guy?",0.69,0.444,0.69,0.69,0.64,0.19,0.5,0.389,0.059,0.333,0.333,0.209,0.0,0.875,0.0019,0.0433,0.0002,0.0163
"At quarter past ten, Vic slipped out of his Ad Worx office and went around to Bentley's for his morning coffee, unable to face the bitch's brew that was available at the office.","at a quarter past eleven, Vik slipped out of his office and went on his morning coffee to the Bentley, because he could not stand the swamp that was available at work.","at quarter past 10, Vic left his office and went to Bentley's house for the morning","at office to ten time , steam was taught his office and used to fly by his office.",0.449,0.17,0.408,0.408,0.284,0.069,0.719,0.286,0.085,0.204,0.204,0.15,0.0,0.844,0.9883,0.0018,0.0002,0.0002
You're shitting me.,you're kidding!,you're kidding.,you 're kidding me.,1.0,1.0,1.0,1.0,0.736,0.0,0.5,0.857,0.8,0.857,0.857,0.718,0.0,2.0,0.0005,0.0001,0.3204,0.1583
I think she's the fuck of the century.,it was the southpaw of the century.,I think it was a century of writing.,i think it was a book.,0.533,0.154,0.4,0.4,0.459,0.0,0.857,0.308,0.182,0.308,0.308,0.323,0.0,1.0,0.0003,0.0044,0.0001,0.0002
"We are in the shit, Mark.","we're in a lot of trouble, Mark.","we're in big trouble, Mark.","we 're in this , mark.",0.714,0.5,0.714,0.714,0.706,0.367,0.429,0.615,0.364,0.615,0.615,0.607,0.0,0.857,0.0001,0.0001,0.0002,0.0087
"Well, let's go toss him.",let's go get him.,"well, let's get him.","well , let 's go , come on , but let 's go.",0.8,0.5,0.8,0.8,0.793,0.0,0.5,0.4,0.308,0.4,0.4,0.656,0.0,3.0,0.0001,0.0065,0.0097,0.0082
"I know all about your fucking condition, Leonard!","I know about your condition, Leonard.","I know about your condition, Leonard.","i know about your condition , channing.",1.0,1.0,1.0,1.0,0.999,1.0,0.0,0.833,0.8,0.833,0.833,0.865,0.707,0.5,0.0001,0.0002,0.0002,0.001
"I want a goddamn dance, sweetheart.","I want a dance, baby.",I want a dance.,"i want a dance , sweetheart.",0.889,0.857,0.889,0.889,0.712,0.474,0.4,0.8,0.75,0.8,0.8,0.841,0.643,0.6,0.0002,0.0002,0.0001,0.0006
"My girlfriend, who wants to eat me up, is a gumiho.",my friend who wants to eat me is Gumi.,my friend wants to eat me up.,"my girl , who wants to eat me , it 's a complete package.",0.75,0.571,0.75,0.75,0.686,0.333,0.333,0.571,0.421,0.571,0.571,0.64,0.268,0.889,0.9997,0.0076,0.0002,0.1096
Shoot her!,get her!,Shoot her!,get her!,0.5,0.0,0.5,0.5,0.625,0.0,0.5,1.0,1.0,1.0,1.0,0.981,0.0,0.0,0.0001,0.0081,0.0001,0.0081
Now he saw that his worry had been foolish.,now he can see that he was worried.,now he saw that his worry had been foolish.,now he saw it had no one.,0.353,0.133,0.353,0.353,0.469,0.0,0.875,0.267,0.154,0.267,0.267,0.225,0.0,0.75,0.0002,0.0002,0.0016,0.0002
How the hell is a fish going to get an alien back from Iraq?,and how does a fish get an alien from Iraq?,how would it feel to get an alien back from Iraq?,how kind of fish is just a party from the mirror?,0.571,0.316,0.571,0.571,0.606,0.0,0.6,0.381,0.0,0.286,0.286,0.225,0.0,0.9,0.0239,0.0029,0.0495,0.0003
I saw him ... ram the knife into her throat and then twist it.,"I saw him. He drove her knife into her throat and then shook him. """,I saw him ram the knife into her throat and then twist it.,"i saw him , a bunch of l.a. and i 'd be able to.",0.667,0.56,0.667,0.667,0.624,0.369,0.467,0.286,0.154,0.286,0.286,0.234,0.0,0.867,0.0004,0.0202,0.0003,0.0027
And you have only fucking called me a couple of times!,"all this time, you've called me a few times.",and you only called me once.,and you only have called me a couple of times.,0.375,0.143,0.375,0.375,0.274,0.0,0.778,0.5,0.222,0.5,0.5,0.473,0.0,0.667,0.0117,0.0004,0.0039,0.0027
"What did you tell, you pussy?",what did you tell them?,what did you just say?,"what did you tell me , girl?",0.6,0.5,0.6,0.6,0.743,0.0,0.4,0.727,0.667,0.727,0.727,0.781,0.366,0.6,0.9992,0.0019,0.0009,0.0027
I was the screw-up in the family.,I'm the one who's family.,I was the one in the family.,i was in the family.,0.571,0.167,0.571,0.571,0.465,0.0,0.8,0.5,0.0,0.5,0.5,0.405,0.0,0.8,0.0001,0.0002,0.0002,0.0002
