toxic,nontoxic,generated
Fuck 'em. We ought to charge 'em the same amount they charging the insurance company.,we should charge them the same money as they charge the insurance company.,we should have charged them the same amount they were giving the insurance company.
"What, you don't think I can do this shit?",you don't think I can do that?,do you think I can't do this?
Fucking people on vacation...,like on vacation...,people on vacation...
"They didn't even clean the house, filthy scum.","they didn't clean the apartment, either.",they didn't even clean the house.
Can you believe that shit?,"can you believe it, man?",can you believe it?
"No glory-boy shit, don’t fuck up your last day.","no heroics, no messing up your last day.",don't mess up your last day.
It's my shit!,it's mine!,it's mine!
Sign the damn papers!,sign the papers!,sign the papers!
Fuck me. They got lucky.,they were lucky.,they're lucky.
Pompous idiot!,pompous!,Pompose!
"They're your keys, asshole.","they're your keys, man.",they're your keys!
"Denzel Washington saved J. Roberts twice,cleared her name... ...and didn't get any pussy from that bitch!","Denzel washington twice saved Julia, cleared her name, and she didn't give it to him!","Denzel washington twice saved Julia, cleared her name, and she didn't give it"
"That stupid thought here that the people who love it, believe she is innocent. My mistake.",because I naively think that the people who love her will really believe she's innocent.,the thought here that people who love her believe she's innocent.
Let's go traveling and let's not come back until this stupid-ass money's been spent.,let's travel and don't come back until we've spent it all.,"let's go on, and we'll not come back until the money is"
What the fuck do you want.,what do you want?,what do you want?
I told you not to sell to her! Bitch!,I told you not to sell her anything.,I told you not to sell her.
"Suck it, Grant!","you got it, Grant!","come on, Grant!"
What the fuck are you talking about?,what are you talking about?,what are you talking about?
"That, my friend, is a goddamn headline.","this, buddy, is the headline.","it's a banner, my friend."
"""What the fuck is your problem?""","""what are you doing?","""what is your problem?"""
I don't know how. Bullshit.,I don't know how.,I don't know how.
"""Well, you're not doing it."" "" No, I'm not! "" Fuck you!","""you don't do it."" - ""No, I don't.""","""no, you're not doing that."""
"My mom always said that they made a mistake down at the IVF clinic, but, shit.","my mom always told me they made a mistake at the clinic, but this.","my mom always said they made a mistake at the IVF clinic, but she didn"
Kids today are scum!,the kids are today!,the kids are out of here today!
"Do exactly as we say, and no one gets hurt. Holy shit.","do exactly as we say, and nobody gets hurt.","do what we say, and no one gets hurt."
"Take the wheel, bitch!",take the wheel!,take the wheel!
"No, I don't do that shit.","no, I'm not doing this.","no, that's not what I'm doing."
You choose. Shit.,you choose.,you chose.
"Fuck, man.","come on, man.","oh, man."
"Did you see that shit, man?","did you see that, man?",did you see that?
Fuck! Why you got to take it to that place?,why do you have to take it so far?,why do you have to take him to this place?
He'd be workin' on this shit day and night.,he worked on it day and night.,he worked on it day and night.
You think Big Tobacco throws money at this shit?,do you think Big Tobacco will give it money?,do you think it's going to be worth money to Big Tobacco?
That was the stupidest password.,it was the easiest password.,that was the easiest password.
I don't think I've ever seen a more beautiful piece of shit.,I don't think he's ever seen anything more beautiful.,I don't think he's ever seen anything more beautiful.
"She never took a shower either, fuck.",she didn't shower anyway.,and she didn't take a shower either.
"Oh, no, no. Shit!","oh, no, no, no, no, no!","no, no, no."
"Jesus, Caden, what the fuck?","Caden, what happened?","Jesus, Caden, what are you doing?"
This shit is good with that dill sauce.,it's really great with coconut sauce.,this is good with the Dill sauce.
To that cunt again?,the girl again?,to her again?
You know that shit.,you know that.,you know this.
By understanding that you're not going to be intimidated by that little piece of shit Tommy Tremble.,I understand you won't be intimidated by Them messenger Tommy Tremble.,"by understanding that you're not intimidated by this little guy, Tommy Tremble."
How do you know this shit?,how do you know all this?,how do you know?
What the fuck were you and Edgington thinking?,what did you think of Edgington's doppelganger?,"what were you thinking, Edgington?"
"Dammit Mitch, you're asking questions that shouldn't be answered.",you ask questions that shouldn't be answered.,you're asking questions that you don't know the answer to.
"You're stupid. Man, I've been gone all summer... and I get back, and everything is just the same.","wow, I've been away all summer... and when I come back, everything is exactly the same.","dude, I've been gone all summer, and I come back, and everything"
"At first, I thought they deserved what they got, for being so ignorant.",at first I thought they got what they deserved.,"at first, I thought they deserved what they got for being so blunt."
"Fuck! TIA, huh, Danny?","right, Danny?","TIA, huh, Danny?"
I hear twenty stupid ideas a day.,I hear stories like that twenty a day.,I hear twenty ideas a day.
Who taught you that shit?,who taught you?,who taught you this?
"He makes us look like idiots, and we're letting him do it.","he's done what he likes with us, and we'll keep him.","he's making us look like he's not, and we're letting him do it."
What is this shit? It's a symbol of a person I was and can be again.,it's a symbol of the person I was and I can be again.,it's a symbol of a person I once were and can be again.
"Oh, shit!",oh my God!,"oh, my God."
"The moron's your pal, not mine.","he's your friend, not mine.","he's your friend, not mine."
"Sounds stupid, huh?","sounds bad, doesn't it?","sounds bad, huh?"
I can't believe this bullshit.,I don't believe it.,I can't believe it.
Some stupid mid-term party he wasn't invited to.,a mid-semester party that he wasn't invited to.,he wasn't invited to a party at his place.
The fuck are you doing with him?,what are you doing with him?,what are you doing with him?
"You ready for this shit, my dear brother?","are you ready for this, my dear brother?","do you want to be prepared, my dear brother?"
What the fuck are you wearing?,what are you wearing?,what are you doing?
This piece of crap keeps doing' this!,this thing is still doing it!,this thing keeps doing it!
"How else were you gonna say you had nothing to do with it, huh? Fuck!","how else could you say you had nothing to do with it, huh?","how else would you say you had nothing to do with it, huh?"
Wrong like Horrox and your silly father-in-law.,you were wrong about Horrox or your father-in-law.,you're wrong like Horrox and your father-in-law.
Or letting those murdering bastards get their hands on Berry?,or are you going to let Berry keep their hands on them?,or should we let them get their hands on Berry?
God damn. Whoo!,"oh, my God.","oh, my God."
"This was stupid, and I really shouldn't have called.",I really shouldn't have called you.,"this was awkward, I shouldn't have called."
"Don't say that, you bastard!",don't you say that!,don't say that.
"""What is this shit for?""","""what's this for?""","""what is this?"""
"Ah, go to hell, kid, come on.","oh, come on, boy. Come on.","come on, boy, come on."
No one remembered the stupid customer number.,no one remembered the order number.,no one remembered the customer number.
That's the last damn hitchhiker.,that was the last time I took a hitchhiker.,this is the last hitchhiver.
"They hear your accent, they fuck you.",they just hear an accent.,they'll hear your accent.
And hang the girl.,and bring the girl.,and hang on to the girl.
Go the fuck move back there.,then go back there.,go back there.
"Man, you have a fucking wife, someone who loves you.","dude, you have a wife who loves you.","dude, you have a wife who loves you."
Where's Emil Brandt? - Fuck you!,where's Emil Brandt?,where's Emil Brandt?
Are you on that shit?,you're on it?,you're on it?
"God damn, man!","oh, my God.","oh, my God."
"You like that shit, huh?",you really like this?,do you like it?
Bastards I'll show them,I'll show them.,I'll show them.
You couldn't hit that shit last night with a paddle.,"Chavvie, you couldn't do it last night.",you couldn't do it last night with a paddle.
How stupid do we look?,how do we all look now?,what do we look like?
That is disgusting crap.,that was a terrible thing.,it's disgusting.
Why would she come down to the beach? Fuck!,why would she go to the beach?,why did she come to the beach?
"Can you believe these fools, Donny?","can you believe it, Donny?","can you believe it, Donny?"
Two million dollars for your ass.,two million dollars for you.,two million dollars for you.
"I mean, those two idiots remind me how much fun it was when I'd go out to lunch and have cocktails with my girlfriends and watch them pretend to eat.",the two piers remind me of how much I used to go out with friends for lunch and cocktails and watched them pretend to eat.,"I mean, they remind me how much fun it was when I'd go out to"
"Bastard! I served Gu all night for free, he promised to let us stay.","I've been free with him all night, just for leaving us here.","I've been free with him all night, for hiding us."
"""God damn you, Colonel!""","""oh, my God, Colonel!""","""thank you, Colonel!"""
"Health insurance, my ass.",health insurance?,he's got health insurance.
"I remember that shit, too.",I remember that too.,"I remember that, too."
What the fuck are you looking at?,why are you looking at me?,what are you looking at?
This bitch'll solve all your problems.,she'll solve all your problems.,he'll solve all your problems.
Are you stupid? Didn't you hear what I said?,didn't you hear what I said?,you didn't hear what I'm saying?
"No, fuck off! OK?","no, pull up, ok?","no, move it, OK?"
You believe that shit?,can you believe it?,can you believe it?
"I told you, you asshole!","I told you, man!","I told you, man!"
You know how that shit works.,you know how it is.,you know how it is.
"Maybe I should do that shit, too.",maybe I need that too.,I might want to do that too.
"Rahul, idiot! Come here.","Rahul, come here!","Rahul, come here."
"When was the last time you saw the girl? fuck you, man!",when's the last time you saw the girl?,when's the last time you saw her?
My dad swapped a little girl from Georgia for this shit.,my father did this for the Dievchatko of Georgians.,my dad picked up a little girl from Georgia for that.
Hector's wife just set my drapes on fire with her damn prayer candle.,Hector's wife just lit the curtains with her candles to pray.,Hector's wife just set my drapes on fire with her prayer
"Then you own that shit, that pussy's yours.",then you have it for yourself.,"so you own that, it's yours."
Come on. Shit.,come on!,come on.
"A lousy fuck. My client deserves double that, and you know it. Fuck you.","my client deserves double, and you know it.","my client deserves double that, and you know it."
What kind of stupid name is that?,what kind of name is that?,what kind of name is that?
I'm offering a grand so I don't have to answer stupid questions like that.,"I offer generosity, so I don't have to answer the wrong questions.",I'm offering a grand so I don't have to answer questions like that.
Fuck you! I can say what I want.,I can say what I want.,I can say what I want.
You think they don't know your bastards?,you think they don't know what you're really like?,you think they don't know what you're really like?
Hatch doors close in five seconds! Shit.,the entrance closes in 5 seconds.,the door will be closed in five seconds!
"That's right, you call her on her shit, she's gonna call you on yours!","the guy's got a real name, you called it a tie, she's gonna give it back to you!","yeah, right, you call her on her stuff and she's gonna call you"
