toxic,nontoxic
"Call me old-fashioned, but fuck it, you know what I'm saying?","she tells me I'm an old-fashioned, but I'm like, you know what I mean?"
"Well, don't let your friends talk you into doing anything stupid today.",don't let your friends talk to you about it.
"Man, fuck that, vou owe me.","dude, you owe me."
What the fuck you talking about?,what are you talking about?
It's like a crap game.,it's like playing dice.
Wall Street sucks!,Wall Street's sublime!
"All right, all right, shut up!","all right, all right, quiet!"
"Hold on, dammit!",wait a minute!
Pack up your shit and go home.,pack your things and get out.
"You've got my map, right? - Oh, shit.","you have the map, right?"
"""What the fuck you gonna eat on 13 cents a week?","""what do you want to eat for 13 cents a week?"
Hold the fuck on.,wait a minute.
My steel shutters don't work. - Shut up.,my steel shields don't work.
You look all normal and shit.,you look really normal.
"The password, dammit!",the password?
"I'd think that you're a cinematic idiot, and I'd feel sorry foryou.","that you're a filmmaker, and I'd be sorry for you."
"This... oh, fuck, I don't understand why this asshole walked into my library.",I don't understand why this guy came to my library.
"Fuck you! No, Dad. What about you?","""no, Dad, what about you?"""
But you two fuckers insist on touching her!,but the two of you touched her!
"Hey, lunatic, you could've warned me!",you could have warned me.
"Hey look, you don't pay your fucking taxes...","hey, you don't pay taxes..."
"Oh, fuck.","oh, God."
"You best hope they don't find you because if they do, they're gonna kick your asses.","and you better hope they don't find you, because if they do, they're gonna make you laugh."
Would you stop being ridiculous?,will you stop doing that?
"You don't know what kind... ...of scum, men like Laxman Pandey are.",you have no idea what they're... people like Laxman Pandey.
"Listen, slut...!","listen, Hyo-jung."
"So, you came here to tell me my only chance of getting that money is during that goddamn party?",so you're telling me that I can only steal the money during the party?
"Shut up, Fred.","be quiet, Fred."
"And that is my biggest weakness, you bitch.","and that's my biggest weakness, man."
What the... fuck?,what are you...?
"And since the little shit can't be trusted by himself or with his hoodlum friends for five minutes, I decided to bring him with me to work today.","and since he or his friends can't be trusted for five minutes, I've decided to take him to work."
Sign the fucking thing first.,just sign it first.
If Owney was in Washington we wouldn't have this shit in Europe.,"if Owney were in Washington, Europe would look different."
"Oh, shit.","oh, my God."
How the fuck did you get out?,how did you get out?
Rubbish! You should've come with me.,you should have come with me.
He's a fucking wolf.,it's a wolf.
Let them fools do the work.,we'll let them do all the work.
"Fuck, that's my car.",the car's mine.
"Fine, talk to the accountant, but he's a real jerk.","okay, talk to the accountant..."
"Usually, the cops are so fucking dumb it takes them three months to get wind something's going on.",normally the cops are hard on the cops for three months before they wind up doing anything.
"Everybody wins, bitches!","everybody wins, boys!"
That's none of your goddamn business.,it's none of your business.
"Your parents, they're crazy.",your parents are fine.
"Shit, Marco! hurry up! you move the car stupid or you want me to bring you the keys?",will you move your car or should I bring your keys?
Fuck you! - I'm trying to get good at NASCAR.,I'm just trying to be good at NASCAR.
I don't have time for this shit.,I don't really have time for this.
"Let's kill the louse! Schultz is accused of treason, and you know why.","Schultz is charged with treason, and you know why."
Asshole.,douche bag.
"Shut up! Boys, not in my class!","guys, not in my class!"
Elvira's stupid.,Elvira's terrible.
Thanks for fucking telling me.,thank you for telling me.
"Now, what the hell is this shit?",what kind of mess is this?
"I... can't... swim, asshole!","I... can't... swim, Kriple!"
"Shit! I apologise, Private, of course you did.","I'm sorry, soldier. Of course you did."
Now laugh at that shit.,now you can laugh.
Then what the fuck are you complaining about?,then I don't understand what you're complaining about.
"You stay clean, pull your shit together;","stay clean, pull yourself together."
None of your fucking business.,it's none of your business.
Are you so fucking drunk you don't speak English?,are you sure you don't understand English?
"'Bastards,' she said.","'Beavers, 'she said."
I don't have to worry about that in LA. Not with you skinny sons of bitches.,"I don't have to be afraid of that in LA, at least not for you."
Damn. Talk about your bad luck.,it's called bad luck.
"Fuck, I trust you, so I'm just gonna lay this right on you.","I promise you, that's why I'm going to tell you."
"He has totally shit, but he breathes.","he's really bad, but he's breathing."
"Stop fucking around, they're off!","stop fussing, they're off."
You're always making me do stupid stuff like last night.,you're still doing this to me...... like you did last night.
"I'm hurt, Vargas Fuck off!!","I'm hurt, Vargas!"
That rehab shit?,the rehab treatment?
What are you doing standing in the damn road?,why are you standing in the middle of the road?
I told him he was full of shit.,I told him he was talking.
I told you to shut up!,I told you to be quiet!
"You had us worried, you ass!",we were worried about you!
I can't wait to tear this shithole down.,I can't wait to get out of here.
Then stop taking shit out of the house!,stop pulling things out of the house!
"Fuck ""sorry.""","I'm sorry for ""sorry."""
"I bet you didn't, you big Monkee fan pussy.",I don't think you're a Monkees fan.
Al is fucked up bad.,al is in a terrible state.
"Let go of her, damn it.","let her go, man!"
"Don't you fucking get it, ya moron?","you don't get it, do you?"
Fantasy football has turned every man in this town into a trash-talking monster.,fantasy football has changed everyone in the volcano monster.
"Denzel Washington saved J. Roberts twice, cleared her name... ...and didn't get any pussy from that bitch!","Denzel washington twice saved Julia, cleared her name, and she didn't give it to him!"
"They callin' that shit ""possession with intent.""","they call it ""possession with intent."""
Try to look a little more-- Tuck your fucking shirt in.,"try to look... I don't know, put your shirt in."
The insurance companies can have the goddamn airline.,insurance companies can keep it.
"In my opinion, whoever's doing this deserves a goddamn medal.",I think whoever did this deserves a medal.
"""But not, surely, to those bastards.""","""but they don't get those."""
Now let's see his fucking cards.,now let's look at his cards.
Kill them with chocolate.,get them chocolate.
I have never seen anyone so idiotically burn that kind of opportunity.,I've never seen anyone throw away such a great chance.
Then get the fuck off him.,then let him go.
"Bullshit. - Pork and beans, too.",I think it's pork with beans.
"So three days, you fucker!","three days, dude!"
"Stupid players. JEFF: At Tribal Council, Alicia, Rupert and Boston Rob were all at risk, but in the end,","Alicia, Rupert, and Rob were at risk on the tribal council, but Alicia was eventually excluded."
That bitch say she was coming?,did she say she was coming?
"So Mike, shit like this does not happen in this city.","wait, Mike, something like that hasn't happened in this town."
That bitch is the reason my father is dead.,that's why my father died.
"""Suck my fat one""?","""he's huge""?"
Fuck it. Whatever.,"okay, whatever."
"No, really, thank you for saving me from those crap cops.","no, really, thank you for saving me from the scoop."
You fucked me!,you tricked me!
"I don't need your fucking status report, Serpico.","I don't need your report, Serpico."
"""I don't remember making this big bowl of shit.""",I don't remember taking him...
"Fuck your ego and just ask Bose for the money, man...!",swallow your pride and ask Bose for money.
"""A good uncomplicated fuck.","""a good, uncomplicated shuffling."
Keep your fucking hands where I can see them.,put your hands where I can see them.
"""Fuck off! Five years' training for this.",I've trained for five years.
I bet on the wrong scumbag.,I put a bet on the wrong horse.
Don't apologize. - Fuck.,don't be sorry.
Who the fuck cares about your job?,who do you think he cares about?
I'm paying for his mistake; he can pay for the damn house.,I pay for his mistake. He pays for the house.
The signal's shit here...,there's a hell of a signal...
"Shut my mouth, and let your boss win.",keep quiet and let the boss win.
"Shut up, everybody.","you will be quiet, everyone."
But you don't have to take stupid risks.,but you can't take any chances.
"Mr. Brogan,I do believe you're fucked.","Mr. Brogan, I believe you're exhausted."
Crap. It is not relative.,it's not relative.
"You said we were American? Oh, fuck!",did you tell them we were American?
It's $200 of shit.,200 dollars in droves.
A dumb animal's perception of sudden death.,it was the sudden death of a mute animal.
With that shit?,with this thing?
"All your dreams came true, huh, moron?","you've done all your dreams, haven't you?"
"Lynette, I just need to... Shut up.","Lynette, I just need..."
Fucking... you're really good at this.,you're really good at this.
Check that shit out.,check it out.
You said the motherfuckers were clean.,you said they were clean!
Forget the whole goddamn playbook.,forget the game plan.
But he can read on your lips all the crap you're saying.,but all you have said is read your lips.
Fucking get it out!,pull it up!
Shit. Pitarrio.,or Emolia.
These bastards I've been waiting for them!,I've been waiting for them!
I'll see you at school tomorrow. Shit.,I'll see you at school tomorrow.
What the fuck have you got me into? - Shh.,what have you brought me into?
"Loud, dumb, and enthusiastic.","loud, tight, and enthusiastic."
Don't ever stop fucking me!,"no, please don't stop."
"Shoot him, shoot him, shoot him!","get him, get him, get him, get him, get him!"
"Jeff, the Greeks can't find their own fucking hotel room.","Jeff, the Greeks won't even find their own hotel room."
What's this murder shit?,what about the murder?
"Well, anyways, look, thanks a lot, Jerry, but my team kicks ass.","thanks very much, Jery, but my team will kick in."
You know what? Fuck him.,you know what?
You ain't gonna believe this shit.,you're not gonna believe this.
All the niggers on this side of the Atlantic have already screwed those girls.,every bird on this side of the Atlantic has been in those girls.
What a bunch of crap cases.,it's a hell of a lot of cases.
Throw your damn hands up.,raise your hands.
God! Just read the damn card.,"oh, God, read it."
"Fuck you! - No matter how hard you try, you'll never be the hero, and you'll never, ever getthe girl.","whatever you want, you'll never be a hero...... and you'll never be able to get it."
We'll debrief that shit later.,we'll explain later.
You should have seen the look on that fuck's face!,you should have seen the look on his face.
"Friend, my ass.","friend of yours, pic."
Where's the stupid key?!,where's the keys?
Do you know where we are? Shut up.,you know where we are?
"Damn, what a handsome group.",what a handsome group.
"Damn, that is a good cup of coffee.","hell, I call it a good cup of coffee."
You've got to trust me. - Shut up!,you have to trust me.
"This cartel shit, the pressure with the Irish,",the cartel and the pressure of the Irish...
"Look at the way your crazy ass drive, then ask me again.","you better watch your way, then you can ask me again."
"Oh, shit.","God, no!"
But she's such a coward.,but she's such a ghost!
I'm not moving to the stupid city!,I'm not moving to any Hoboken town!
That shit ain't funny.,such things aren't fun.
Just fuck away from me and drive.,just leave me alone and drive!
"Fuck off back to your caravan, you pikeys!",get back to your trailer!
"No, I'd call you a slut.","no, I would call you."
"No, and neither did you, -so shut up.","he didn't see, and neither did you."
I want to ask you something What? Fuck!,I want to ask you something.
Just sell me a goddamn bag of tar.,it's just a hell of a sale.
"She takes the goddamn thing, gives you a quarter.",he'll take it and give you a quarter.
"No, Gabi, you cut the fuckin' shit.","no, Gabi, you keep it."
That was a stupid idea.,that was a bad idea.
How many goddamn kids you got?,how many kids do you have?
Just a stupid dream.,"it's a bad dream, it's nothing."
"What the fuck, Charlie?","what is it, Charlie?"
"Sarge, take this goddamn kid!","sergeant, take the baby!"
Keep your motherfucking change!,and keep the change!
"You wanna know what's in your damn plane, Locke?",you know what's in that plane?
Stupid thing won't start!,this thing's not going to start!
Did you see that shit?,did you see that?
It was a stupid idea.,that was a bad idea.
What kind of idiot drinks decaf anyway?,"anyway, what does a magora drink without caffeine?"
How do you work for this fucking drone?,how can you work for him?
They got me on hold. Fuck it.,he told me to wait.
"Simon, you're a plagiarist, And what's worse, you're a bad loser,","what's worse, you can't even lose, and you're an antidote."
like every other schmuck in this building.,like some other stage in this building.
Because the other three are figments of your fucking imagination!,because the other three just don't exist!
I need that shit.,I don't need that.
She was standing over me when I was changing. You are so pathetic.,she was in the room when I was changing.
I found a whole case of this shit.,I found the whole case.
"Knobhead, what the fuck are you doing?","what are you doing, baldy?"
That goofy dork Gino came into Duffy's asking for you.,the Filipino Gino came to Duffy and asked for you.
Just turn your damn phone off.,then switch off the cell phones.
"If you and I are gonna be friends, you need to learn some manners. Bitch.","if we're meant to be friends, you'll have to learn some manners."
I know shit-all about you.,I don't know about you.
"Ah, they don't check that shit anyway.","oh, they don't watch it anyway."
You're fucking in America.,"you're in America, speak English."
It's his favorite thing in the world- that stupid ball.,that's his favorite thing in the world.
What the fuck are you doing out?,what are you doing out there?
You want fucking... doughnuts.,you want... doughnuts.
"""A hairy bastard,"" Bush agreed.","""oh, my God,"" said Bush."
"That guard, that awful, awful man.","the guard, the bad guy."
A little bit of this shit.,a little bit of that.
"Beautiful ""Ignorant Fairy""...","beautiful ""The Lost Fairy."""
"No, you shut up.","no, you don't!"
Who the fuck is keeping her for hours?,who's holding her for four hours?
Pour your own damn drink.,why don't you just pour yourself a drink.
Get this shit out of the way!,get out of the way!
"Haven't you fucked up enough, Elvis?","doesn't it look like you've done enough, Elvis?"
"I want some illumination now! - Stupid, fucking kid!",I want some lighting right now!
What the fuck are you talking about?!,what are you talking about?
What the fuck is going on?,"what's going on, Derek?"
That stupid FBI agent is he reason why you're still alive.,this FBI agent is the reason you're still alive.
Do you believe any of that crap that guy said back there?,do you believe any of what this guy told us?
"What a bitching car, man.","what a great car, man."
Fucking Glenn.,he's got Glenn.
"She's not even alive, and you are cute as pigs.","she's not even alive, and you're pretty as a picture."
(all) And he's got balls!,he's got balloons!
"Of course I want you to visit, you idiot!",of course I want you to visit us!
Which being it's a fucking whorehouse could indicate some fucking business arrangement or some other fucking thing.,the fact that this is a mess might suggest... a certain trade agreement or something.
He's fucking Patrick.,he's freezing Patrick.
I smell bullshit.,I feel bad.
"Oh, shit! All ahead full, sir!","full speed ahead, sir!"
"I got cake from Red, so fuck off.","I got a pie from Red, so take your time off."
I don't need that guy saying his daughter's sticking it to my loser son.,I don't need this guy to say his daughter has something to do with my poor son.
Get your ass back in that apartment.,go back to the apartment.
An actual Catholic priest blessed this shit right in front of me.,a true Catholic priest anointed her in front of me.
You fight much harder than you fuck.,you fight much harder than you do.
"Ari, you've got the missus' best friend's dinner tonight. Oh, fuck.",you're having dinner with your wife's best friend.
"Suck it, fish!","go, fish!"
That's what the fuck I'm talking about.,that's what I'm talking about.
"Fuck you. - I don't know about you, but I sure wish I had a bullwhip for this occasion, but I found this.","I don't know about you, but I want to end it, and look what I found."
They eat that shit up.,they'll eat it up.
Are we here? Losers!,are we here yet?
It is the hardest thing you've done? Shut up.,is this the hardest thing you've ever done?
Depends on the shit you're smoking... OK.,depends on what I'm smoking.
Wandering off is about the dumbest thing you've ever done.,"wandering around here is probably the tangiest thing you've ever done, Shawn."
"Karl, Cillero and Randolph deserved what they got for being so stupid.","Karl, Cillero and Randolph got what they deserved."
27 years! 27 years without this shit!,27 years... 27 years without intervention!
"Don't fuck with me, boys, I thought.","never mind me, boys, I thought."
"That damn woman, she was somethin', huh?","that woman was something, wasn't it?"
"Photos with the nutritionists, hang with the players, over to the school, then we pregnancy test you to fuck.","you get the picture now, then you go to the players, then go to school and then we do that pregnancy test."
"Shut up, fool!",it's quiet!
Is this the kind of retard that drools and rubs shit in his hair and all that?,is that the kind of thing that pops up and then it goes into your hair?
They got shit football in Canada.,there's no good football in Canada.
"""Fuck him,"" came the reply.","""never mind him,"" was his answer."
All those nights you were late back and stupid cow here thought you were out looking for ajob!,"all those evenings when you were home late, and I thought you were looking for a job!"
For fuck's sake!,for God's sake!
This jerk pizza guy can't break a hundred.,the pizza delivery guy ain't got back for a hundred.
Like the goddamn Jeffersons.,like the Jeffersons.
"Hey, watch your fucking mouth.","hey, watch your language!"
"The heavyset girl said I had a receding hairline, and I was a few pounds overweight. And I was, like, ""Go fuck yourself.""","but Billy insulted one, and one girl said I was getting bald, and I got a few extra pounds."
- Shut up!,be quiet.
Got glass in his fucking eyes.,he could see the glass in his trunk.
"He's all like, ""Don't touch my shit, man.""","all the same: ""Don't touch my stuff."""
Do you think I'm playing a goddamn game?,you think I'm just playing around?
"You don't know what the fuck I'm talkin' about, do you?","Tony, I have no idea what you're talking about."
"There would come a day when he would open a door and there would be Gage, a demented parody of his former self, grinning a sunken grin, his clear blue eyes gone yellow and smart-stupid.","there would be a moment when he would open the door and there would be Gage with a gaping smile, and with shrewdly yellow yellow eyes instead of bright blue."
"Hey, your goddamn tree wrecked into my stolen tractor.",your tree destroyed my stolen tractor.
"Okay, but that shit is weird, dude, with the bread and the mayo.","dude, this is really weird, the bread-and-butter bread."
I'll never do that crap to my son!,I would never do this to my son!
"Hey, Nola, bring your ass...","Nola, come back..."
"Yeah, but how do you fight a war with sandals? That's... stupid.",how do you want to make a war on sandals?
"I don't love those who fuck me, I hate them.",I don't like what they're doing to me.
This is his damn house.,this house is his.
Where the fuck have you been?,where have you been?
Put my pants on like all these other fools.,I dress my pants just like everyone else does.
He'll fuck with you.,he'll give up on you.
"My compliments, General. You've got what you deserve! A whore.","my compliments, General, you got what you wanted."
"Fuck, this hurts so much.",it hurts so much.
Now look at all this fucking mess!,now look at this mess!
You know I hate that health food shit.,you know I hate a healthy diet.
"What, you think I can just walk in and take this shit?",do you think I can just come and take it?
It should be me wearing that damn ring.,I should have worn that ring.
Fuck! Who is it?,who is he?
They really want something from you. Shit!,the guy really wants something from you.
You keep changing the fucking rules!,you can't change the rules!
Little ass-kicker.,little girl.
Asshole brought a lot of shit down on us without getting exemption.,prick sent it on us without any warrant.
"Fuck. Oh, God.","oh, my God."
And thanks again to Fred and your friend... - Dammit!,thanks again to Fred and your friend.
And I am still your goddamn husband!,and I'm still your husband!
'Cause I ain't sleeping under the same roof as this fool.,because I don't sleep under the same roof as him.
"If you hang with us, this shit wouldn't happen.","if you were with us, nothing would happen."
Go with Burk in Cobra two. - Damn it!,go with Burke and Cobra Two.
Can't even take care of your own goddamn son!,can't you even take care of your son?
"Give it to me, fuck!",give it to me!
You know how this shit works?,do you know how this works?
It must be fucked up to have to bury your own son.,it must be hard not to be able to bury your son.
She sat there with that pathetic look.,"she sat there with her sad, pitiful expression on her face."
Something tells me you aren't in much of a position to be making stupid threats to anyone.,something tells me you're so excited about threatening anyone.
"Get back in the fucking vehicle, Mike!","get back in the car, Mike!"
Your plan sucks.,your plan is for nothing.
"Yes, on a scale of one to 10, 10 being the dumbest a person can look... ...you are definitely 19.","if in range from one to ten to ten for the biggest blunder, you're safe 19."
"That's actually more fun than being in shit, horrible--",it's more fun than being in a bad...
Where the fuck you going?,where are you going?
What the fuck have you got me into?,what have you brought me into?
I don't need this bullshit!,I don't need this!
I saw it last time I was looking through this stupid...,I saw it last time I examined it.
"Are you listening to me, asshole?","are you listening to me, man?"
"I'll show you, bitch!",I'll show you!
"Now that we're back to where we started, your guess is as good as mine as to how this fucker ends.","now we're where we started, about how this is going to end up like me."
"What the fuck, Carrie?","what was it, Carrie?"
"I warned you, asshole!","I warned you, boy!"
You treated me like shit!,you have treated me badly.
Answer the fucking question.,answer the question.
Why are you so worried about that stupid kid?,why do you care about this boy?
"Whipple said bullshit, there's not a group you can identify that has more than three comets in it.",Whipple said the blunder there is not a single group that could be identified by containing more than three comets.
"What the fuck happened to you, Allen?","what happened to you, Allen?"
"Not getting, fucking vajazelled, getting a little chandelier hung over your uterus.","no jewelry in intimate parts, making a small chandelier hanging over the womb."
Fuck shopping.,forget shopping.
Some stupid mid-term party he wasn't invited to.,a mid-semester party that he wasn't invited to.
Kill our family.,even the families.
Let's vote this shit.,it's going to vote.
Same kind of shit you used to do for us.,the same thing you used to do for us.
"You had your chances like everybody else and you haven't done it, so fuck you.","you had a chance like everybody and you didn't do anything, so stop it, OK?"
Lifestyles of the rich and famous shit.,a lifestyle of rich and glory.
Holy shit. You will do anything to get laid.,you'll do anything to get laid.
"Franηois, shit, you frightened them.","François, you startled them."
Girls will do anything to keep hold of their dickhead dads.,the girls will do anything to keep their high-profile dads on their own.
"OK, this town, these people, and all this fucked-up shit that seems like the end of the known world, it's all just a blip.","this city, these people and all those things that feel like the end of the world, it'll pass."
"So give me the letter, pack up your shit, and...","so give me the letter, pack up and..."
"Right now, the important thing is not to think about how stupid this is.","right now, he must not be thinking of what this is all about."
"You don't know him, so shut up.",you don't know him.
"You know, fuck this movie, E.","I don't care about the movie, E."
Shut the damn door!,close the door!
"Shit. Karen can't handle that kind of money, Sheils.","Karn can't handle that much money, Sheils."
"I got friends who fuck guys, in jail.",I have friends who do it.
"Holy fuck, thank you.","dude, thanks."
Yougirls eat like pigs.,you guys eat how you eat.
You made shit like this disappear a hundred times.,you've done this kind of thing a hundred times.
You keep that shit to yourself.,keep it to yourself.
"What the fuck, dude?","what are you doing, mate?"
My love life is the opposite of crazy stupid.,my love life is exactly the opposite.
"Damn, man! Watch the shop.",keep an eye on the shop!
Fuck off!,get out!
"Well, you should know, fuckwit.",you should know that.
This is one of the bastards who came into our building.,he's one of those who came to us.
"Dad, I'm doing this because I love you: fuck you.","dad, I'm doing this because I love you."
"Go on, fuck off home!","go, go, go home!"
Fat ass?,fat sausage?
You fool. I'm not scared of dying.,I'm not afraid of death.
She's fucking with the system.,she's just messing up the system.
Where'd you get this shit?,where'd you get this?
Why should I pay my hard-earned dollars to watch a fucking corpse?,why do I have to spend my hard-earned dollars looking at the corpse?
"“Excuse yourself, Howie,” Dr. Arlen, that bitch, says from behind me, and chuckles.","""I mean, Howie, you won't apologize,"" said the vigil behind me, Dr. Arlen and giggle."
It takes a goddamn superman to meet all the expectations put upon a celebrity figure nowadays.,one has to be superman to fill all of the expectations placed on famous personalities today.
"You wanna get up here and try and fucking do it, bitch?",you want to come up here and try?
"Watch out, lan! Fuck!","be careful, lan!"
My fucking dad.,my father.
Those aren't your goddamn tools. Blow me.,"hey, it's not your tools."
We didn't mean no harm. You scum!,we didn't mean to hurt you.
"Somebody'd written ""Fuck you"" on the wall.",someone wrote on the wall.
Fucking bull's-eye!,bull's-eye!
"Come on, drink it, ass-hole.","come on, drink this."
"What the fuck is going on, Derek?","what's going on, Derek?"
Depends on the shit you're smoking.,that depends on what you smoke.
"Hey, man, you sold me that shit.","hey, you're the one who sold it to me."
I hate those peopleback there sucking on me.,I don't like those people sticking up for me.
"""Never mind the crap,"" Bush said.","""paper doesn't matter,"" Bush said."
They're fools. I don't have that much going on in my life.,"Earl, there's not much going on in my life."
Shut up and write!,write and don't!
"Fuck this! Captain Steele, I'll take out the threat in the window.","captain Steele, I'll take care of those in the window."
Who the fuck are you talking to?,who do you think you're talking to?
"What you laughing at, jerk?","what are you laughing at, Jerome?"
Shut up!,be quiet.
"Who's a lion now, bitch?","who's the lion now, genius?"
But how I know if you any good at this shit?,but how do I know you're good?
"You've opened Pandora's box, you dumb prick, that's why.","you opened Pandora's box, that's why."
He has no brain pan!,he doesn't have a skull!
"Fuck, what happened to your face?",what happened to your face?
We got shit to worry about!,we have nothing to worry about!
You know you want a piece of this Imperialist american ass.,you know you want a little of this conquering American piece.
"You guys are sitting 20' away from hot cheerleaders, telling each other your crazy jerk-off stories.","you guys sit 20 feet away from beautiful cheerleaders, you talk your wild chase stories."
"Baby, please don't start that shit right now, okay?","baby, please don't start again."
"But you know, the thing is they say you got to keep coming back until you pay for all your shit.",the thing is you keep trying until you pay for all your mistakes.
You fucking look like a Paki.,you look like a Pakistani.
"If I ever make it onto your shit list, give me a call.","if I ever get on your list, let me know."
Emergency summit with urban family... for coherent discussion of career crisis. Fuck 'em.,emergency meeting with friends... regarding discussions about a career crisis.
It's a shit storm.,it's a mess.
"Check this shit out, man.","look at that, man."
Don't tell me you don't miss this shit.,don't tell me you don't miss me.
Have a fucking yard sale?,we're gonna have a yard sale?
"You stupid mullet-head, he beat you with nothing.",he beat you and he didn't have anything.
Her fucking Matt LeBlanc!,he'll deal with Matt LeBlanc!
You little slut! I thought you were at confession.,I thought you were in confession.
That woman really has her shit together.,this woman has her life.
"You're the smartest motherfucker I know, you're not going to find some chick that's as smart as you.",you're the smartest guy I know. It's hard to find someone like you.
Come on. We might need him. - Fuck!,"come on, we'll need him."
I can't believe you still watch this crap.,I don't believe you're still following this.
You trying to dump this shit on me?,are you trying to trick me?
"Constance, you get your ass in my chair!","Constance, you sit in my chair!"
"Damn, you alright?","hey, you okay?"
"Dude, I told you those fuckers at Home Depot knew what they were doing!",I told you guys at the mall knew what they were doing.
"Man, how do you know this shit's safe?","man, how do you know this is safe?"
Let me look at that shit.,let me take a look.
Lip balm. I dropped my stupid lip balm.,he dropped my balm on my lips.
What the fuck you do that for?,why did you do that?
You can't fuck with these people.,you can't play with them.
We gonna see this bitch on the street every day?,are we gonna meet the cow on the street every day?
Take my fucking coke!,steal my coke?
"I don't know. I wanted to hear your voice or something, which is idiotic.",I don't know. I wanted to hear your voice or something.
Which lets you know exactly what the fuck it is-- open heart.,which will clearly show you what it means... an open heart.
"You're going to say that shit to the wrong person,","once you say it to the wrong person,"
"Shit, Cornielle.",Cornielle.
"But you didn't, you beautiful little son of a bitch.","but you didn't sing, you beautiful nice guy."
How the hell could Gottfried get Such a sissy for a son?,how can Gottfried have such a parachute for a son?
"Fools! You, like your powers, are nothing if you are not united, and as Vakama stands with me...","you, like your strength, are nothing if you are not united, and as Vakama stands with me..."
"You know, I just about had it with that damn car.","you know, I've had enough with the car."
Didn't you idiots do any explosives training?,do you two have any explosives training?
What's your problem? Suck me.,what's your problem?
Gaby... you just made fools out of a U.S. government agency.,you just fired an American government agency.
"Brody, I will fucking end you!","Brody, I'll get you."
You lose yourself so you don't have to stay here and deal with the reality of a decimated fucking family.,you're disappearing so you don't have to stay and face the realities of a ruined family.
"And shit, this is my cousin.","he's my cousin, Jack."
"No, you don't know shit.","no, you don't know anything."
"Hey, look, kids, therapy cat. You're a liar.","hey, look, kids, a therapeutic cat."
The really big fuckers.,with the really big ones.
"Fuck you, Jake.","kiss me, Jake."
"""Get moving might"" actually be a good slogan for this damn thing.","""get a move"" would be a pretty good slogan."
You better get your own fucking army!,you better find your own army!
Damn! That blue car!,the blue car again!
Hold your damn horses!,bring your horses up!
Why bring that shit up?,why did you bring it here?
"Ah! Stop, God damn it!",for God's sake!
"Caleb, open the door, man. Shit!","Calobe, open the door!"
"Ladies, I’m not seeing anyone until I’ve finished nailing Rex's ass.","ladies, I'm not looking for anyone now until it's over with Rex."
"Dammit Houston, we hear you.","Houston, we read you!"
This is your fucking friend from high school.,he's your friend from school!
"Hey, hey, listen to me, you scumbag.","hey, hey, listen to me!"
"You're the shit, man.","you're good, man."
I walked around for an hour with that stupid scotch on my tray.,I've been walking around here for an hour.
There was a hospital under every hotel. What crap!,and there used to be an institution under every hotel!
Her friends suck.,her friends are mine.
The boss can do lots of whacked-out crap.,the boss can do a lot of bad things.
"Come on, mate. Let's just fuck off, eh?","come on, buddy, let's get out of here."
"Come marching in my house with that Lady Belle savior shit, telling me I need to resign?",to walk to my house as the savior of Lady Belle and tell me to resign?
"Bullshit, I work here 3 years and I've never actually seen him, man.",I've worked here three years and I've never seen him before.
"This is fucking sick world in which we live, you say that.","we live in a really messed up world, I'll tell you."
Get this through your stupid head!,so you have to put this in your head.
"Oh my God, baby, that's, fuck!","oh, baby, that's..."
"Damn it, Jeb, I told you. You never said nothing about keeping the kid away from her.","well, Jeb, I told you-- - I'd keep her away from the boy, not him."
"Every station has people at the airport,... ..and no-one has heard a whisper ofthis shit!","every station in town has a lot of people in the city, and none of them have heard an anthem-from what you're telling me!"
"Yeah, I think we should just... Fuck off.","yeah, I think we should..."
A fucking Laurel and Hardy fucking family!,we're like Laurel and Hardy!
If she hadn't been worried about upsetting my stupid feelings... she'd still be alive today.,if I hadn't worried about hurting my feelings... she would be alive today.
Only thing I've got is your ass!,the only thing I have is this!
"Luck, my ass!",no luck.
"Two big, nasty men!",two tough guys!
"I didn't want you to be a bastard, so I gave you to mama, so that way no-one could call you one.","I didn't want you to be an illegitimate kid, so I gave you your mom, so no one could have called you that."
"Shut up, shut up.","quiet, quiet."
I can't understand your stupid ass. Speak English.,"I don't understand you, dude, speak English."
If your eyes go up and right... ...you're accessing the brain's creativecenters and we know you're full of shit.,when you lift your eyes and look to your right...... you plug into the creators and therefore you're lying.
Asshole!,prick.
He'd be workin' on this shit day and night.,he worked on it day and night.
And then I will kill your child.,and then your baby.
"Apparently, John Basilone did everything. - Oh, fuck you.",it seems that John Basilone is everything.
God damn it!,"oh, God."
"Dude, just wear the damn Pistons jersey.","dude, just take the Pistons on."
All these months of work for an asshole to write five lines that not even his mother understands.,"long months of work, and a writer then scribbled five lines that even his own mother wouldn't understand."
"Oh, just fuck off.","oh, just go."
"Son of a bitch, why don't you come back and try that again?",why don't you come back and try again?
"I told you not to drink that shit, man.",I told you not to drink this.
"""Nothing but health shit","""nothing but healthy nutrition"
and I treated you like shit.,that I treated you badly.
Well... then let's learn some criminal shit too.,then we learn something criminal too.
Studying the bitch out of water.,we're studying the beast from the water.
Oh God damn!,"oh, my God."
"You know, fuck--",you know...
Open the damn door!,open the door!
"Danny, for once in your fucking life, listen to me, okay?","Danny, for once in my life, listen to me, okay?"
Not that American shit.,no American holdup.
What the fuck are you doing?,what are you doing out there?
