toxic,nontoxic
Turn that shit off!,turn off the roar!
You have another fucked-up story to add to your collection.,you have another story in your collection.
Shut up! That's enough.,that's enough.
What's this shit for?,what is this?
It can't be allowed. Shut up!,this must not be allowed!
This shit makes me hard.,they make me so hard.
You know that poor son of a bitch that fell out of the airplane?,you remember the poor guy who got off the plane?
how can you sit there playing that ridiculous game?!,how can you sit here and play a game?
Search all that shit.,search this place.
"You remember that, motherfucker,","remember that, man."
Surprisingly stupid. She knows a great deal of nothing.,"surprisingly, she doesn't know anything."
You're the only ass clown who showed up.,you're the only guy who showed up.
I don't think I've ever seena more beautiful piece of shit.,I don't think he's ever seen anything more beautiful.
Look at those bastards waiting for us!,they're waiting for us.
"Don't know when the conversation is over. Dumb, trivial shit.",they don't know when the conversation is over.
We gotthat stupid meeting in the morning.,we have a business meeting in the morning.
"Next time, answer your damn phone.","next time, take the phone."
"Pssht, that might be your whole damn salary, but I clock that shit in minutes.","that may be your entire salary, but I'll make it up in a minute."
So a bunch of heads can sit around stoned in a crummy apartment watching Bob Hope? Fuck that.,"I mean, you know, for a bunch of hoops, you can sit in a low-priced apartment and watch Bob Hope?"
You should put that shit on a greeting card.,you should give it to the greeting card.
"Fuck off. Look at me now, Freddie.","look at me, Freddie."
"She's my friend, who has to put up with assholes like you.","she's my friend and she's going to keep it, 'cause she's got to."
I don't need this shit.,I don't need this.
Same old shit.,same old.
"See, this is a really shit idea.","see, this is a really bad idea."
Suck! The bus only cost $17 to New York.,the bus to New York is only 17 bucks.
"Maybe you're not quite ready to get married, Greer. - Fuck you.","I don't think you're ready to get married yet, Greer."
It's fucking money. Real shit.,that's a lot of money.
"Where's the doctor, fuck it?!",where's the doctor?
I told you I'm trying to make that shit up to you.,I told you I'm trying to make it up to you.
"Hey, fuck off. What, man?","what's up, man?"
Don't believe this shit.,I don't believe it.
"Well, I got news for you, asshole.","well, I have some news for you, dearie."
"They swear they don't like it, but... Shit.","they claim they don't like it, but..."
You fucked my wife?,did you do it with my wife?
You have done exactly the same shit!,you'd do exactly the same!
You want to waste my fucking money!,you want to take my money?
"When they get around women like this, they both have these stupid things they go to.","when they reach women like these, they both try to talk about such pitfalls."
"That bastard, Cramer! He is in front of us!",there's Cramer in front of us!
"What the fuck, Carrie?","what are you doing, Carrie?"
What the fuck are you doing filming in our house?,are you filming in our house?
"Okay, sit there and be cool. Oh, shit.","all right, we'll just sit tight."
You always were a lucky fuck.,you've always been lucky.
What? - What the fuck?,what have you got there?
"Are you a reporter, are you a whore, what?",are you a reporter or what?
That shit looks so real.,it looks so real.
"Six bedrooms, four baths, and a fully equipped gym that that idiot shouldn't have been using.","six rooms, four bathrooms and a fully equipped gym, none of which was supposed to have clocked."
"Same shit, different day.",same same every day.
"Fuck! Oh, you wanted to show me your tea?","oh, did you want to show me your tea?"
It's American and shit.,he's from America.
Fuck. Jesus!,"oh, God."
We're all idiots here? I don't see the point of this conversation.,I don't see the point of that conversation.
"Harvard isn't for everyone. Oh, shit.",Harvard isn't for everyone.
Fuck off. She might seem a trifle high-strung.,she may look a little tense.
Were you scared? - You fool!,did you get scared?
God damn it!,"oh, my God."
Fuck! - Two words: Smart pussy.,"two words: Bright, spicy."
"That's stupid, Jackie! ...trying to deal with him right now.","it's too bad, Jackie!... trying to handle it."
He's gonna publish. Shit.,it's going to be published.
And check this shit out.,and watch this.
It's the fucking postman.,here's the mailman.
"Damn you,Charlie Harper.",Charlie Harper.
"Oh, shit !","oh, God."
"Shit, God.","oh, God."
"Don't move, shit!","don't move, don't move."
That's because I'm always in a room full of idiots.,that's because I'm always in a room with all my kids.
I can't--this is stupid.,I can't do that.
Pack up your shit.,pack your things.
"Yeah, dumb idea.","yeah, it's a bad idea."
What the fuck did you do?,what have you done?!
It's a stupid idea.,it's a bad idea.
What the fuck do you want?,what do you mean?
Whose stupid idea was this?,whose idea was that?
Let him take the shit for it.,let him tell himself.
I found myself looking him right in the eye and making up this stupid story.,I found myself staring him in the eye and making up some stories.
"Oh, shit, George. Go!","yeah, George, go!"
"You had no reason to forgive her, therefore no reason to seek forgiveness, no reason to be an idiot.","you have no reason to forgive her, so you have no reason to seek forgiveness."
"Damn it, come on, john.","come on, John."
"This is fucked up, man.",that's messed up!
"Man, what's your damn problem?","what's your point, man?"
Look at this shit.,look at this!
Damn those boys! Don't they understand there's nothing we can do?,they don't understand we can't do anything?
"What the fuck, man?",what is this?
Damn it. Look what you did.,look what you've done.
I can sell that shit.,I'm sure I can sell this.
I am down with that shit.,I'm done with that.
You know how much I'm gonna miss these goddamn machines?,you know how I'm gonna miss these machines?
"Hey, who was the 21st president? - Go fuck yourself!","hey, who was the 21st president?"
I don't have to stand here and take this crap.,I don't have to stand here and listen.
They don't stare at me or ask me stupid questions.,they don't look at me or ask questions.
"Don't be stupid, Kolnay, we'll have military expenses!","come on, Kolnay, we'll have military expenses!"
Jose Ramse... master of bullshit.,"Jose Ramse, master of the line."
"Fuck sake, Briony.","Jesus, Briony."
What is up with this lunchtime shit?,what was going on with that lunch?
What are you faggots talking about?,what are you talking about?
So you both knew the time and place all along. Don't be a fool.,so you've known each other all the time and place.
"Vimes had a momentary vision of vengeful darkness rising through caves like a tide, faster than a man could run ... which was stupid.","for a moment, Vimes introduced the gentle darkness that rises to the caves like tides, faster than the dwarves were able to run..."
You would not believe how much they charge for that shit.,you wouldn't believe how much you're counting.
"I put you inside. I opened a window. You know what you said? ""fuck you.""",I opened the window and you know what you said?
Look what you've done... Fuck!,look what you've done.
What the fuck does this place want from us?,what does this place want from us?
"But yes, I did. I came all the way down here to tell you... Story, no story... fuck your story.","actually, yes... I've come to tell you, the story, the disclaimer."
Tax refund. Bullshit!,they returned my taxes.
Yeah. Friends who think at maybe you're the dumb-dumb.,friends who think you may be the one.
What the fuck is he doing?,what is he doing?
"If he give up Omar, though, I want in on that shit.","but if Omar gives you, I want to go with you."
No. Not without compromising his cover as a clueless idiot.,not without compromising his cover as a no-brainer.
They're about to ban that shit.,they want to ban those things.
They sell my shit on eBay?,my stuff sells on eBay?
You wanna do your damn job?,would you like to start your job?
"God damn it, William!","oh, my God, William!"
"Look, they even filmed their shit.",they even filmed it.
I've never been gladder... to see my stupid big brother.,I've never seen my older brother so fond.
"That's why you brought me home first, right, asshole?","so that's why you took me home first, huh?"
We still got to take that shit to Florida.,we still have to get to Florida.
You believe this fucking weather.,you believe this weather.
I just don't understand why your mom gives you so much shit anyway.,I just don't understand why mom's so upset.
No running! shut up!,it's not running!
"What the fuck is wrong with you, man?",is something wrong with you?
"What the shit, cyril?","what are you doing, Cyril?"
"And frankly, we getting tired of this shit.","and frankly, it's getting on our nerves."
What shit are you talking?,what are you talking about?
We're talking about a stupid piece of paper.,we're talking about a piece of paper.
The fuck you ain't wake me up for?,why didn't you wake me up?
My daughter is having a baby - Shut the fuck up!,the daughter's having a baby!
"But then Rebecca Brown's stupid sister comes over, and... and you decide to break the rules, Sam.","but then there was Rebecca Brown's sister, and... and you decided to break the rules, Sam."
He's right on your fucking ass!,he's right behind you!
I'm not built for that shit.,I'm not built for that kind of thing.
I wonder if your fucking men even know there's a war going on outside.,I'm surprised you and your soldiers still know the war is raging.
Crap! What is she doing here?,what's she doing here?
"Es, but Cameron Diaz, fuck!","yes, but Cameron Diaz..."
Now finish the damn mission!,then finish the job.
What are you gonna do? You crazy.,what do you want to do?
"This shit ain't free, nigger.","it's not free, man."
"Give us a drink, you idiot.",give us a drink.
Fuck! Come on.,come on!
Fuck knows where it comes from.,I don't know where it comes from.
What the fuck's with him?,what's wrong with him?
So you didn't get a date to one stupid dance.,so you didn't find a date for a prom.
"Zia, you are one lucky son of a bitch.",Zia... you're very lucky.
Let me spell it out. You want to fuck your friend?,you want to show up your friend?
"Awesome game, guys. Go fuck yourself.","it's a great game, guys."
You shouldn't pull that crap in front of your father's business associates.,you know he shouldn't be doing this kind of thing...... before your father's business partners.
"""What the fuck is your problem?""","""what are you doing?"
"Maybe I know more than you think I do, Mark. - Shit!",maybe I know more than you'd say.
Good shit.,good stuff.
"Yeah, fool!","yes, man!"
"Wow, look at this shit.","hey, look at this."
Fucking Christ!,"oh, my God."
I mean more stupid than usual!,"I mean, deeper than normal."
Who the fuck you got sending you flowers?,who's sending you flowers?
You're the only one still thinking about that crap.,you're the only one who thinks about it.
"Fuck you!-come on, guys!","come on, guys!"
Where the fuck you going?,where are you going?
"Man, that shit look real good, man.","man, this looks great."
I just made that shit in a phone call.,that's what I just made in one phone call.
Yeah. I know the bastards who grabbed her.,I know who picked her up.
Shut up.,quiet there.
"Do you want to change your bullshit story, sir?","do you want to change your story, sir?"
"I did all that shit out of love, motherfucker.","I did that out of love, man."
"Assumption, my dear Mitzi, is the mother of all fuck ups.","the assumption is the mother of all conduits, my dear."
Tyler' will you shut the hell up about the fucking movie?,will you stop talking about the movie?
This damned war with the Centauri.,because of the Centauri war.
"No, I'll take the bus Fuck him!","no, I'll take the bus."
You two just pulled sea duty tomorrow. - Bullshit!,you two have something to do tomorrow at sea.
"Fucking hell, Tommy.","look, Tommy..."
Why didn't you take care of your goddamn oxygen?,can't you handle your oxygen?
What the fuck are you doing?,what are you doing?
What the fuck you talking about?,what are you talking about?
Wall Street sucks!,Wall Street's sublime!
"Hold on, dammit!",wait a minute!
Pack up your shit and go home.,pack your things and get out.
Hold the fuck on.,wait a minute.
"This... oh, fuck, I don't understand why this asshole walked into my library.",I don't understand why this guy came to my library.
"Fuck you! No, Dad. What about you?","""no, Dad, what about you?"""
Would you stop being ridiculous?,will you stop doing that?
"Listen, slut...!","listen, Hyo-jung."
Sign the fucking thing first.,just sign it first.
Let them fools do the work.,we'll let them do all the work.
"Usually, the cops are so fucking dumb it takes them three months to get wind something's going on.",normally the cops are hard on the cops for three months before they wind up doing anything.
"Everybody wins, bitches!","everybody wins, boys!"
"Shit, Marco! hurry up! you move the car stupid or you want me to bring you the keys?",will you move your car or should I bring your keys?
Fuck you! - I'm trying to get good at NASCAR.,I'm just trying to be good at NASCAR.
"Now, what the hell is this shit?",what kind of mess is this?
Then what the fuck are you complaining about?,then I don't understand what you're complaining about.
"'Bastards,' she said.","'Beavers, 'she said."
I don't have to worry about that in LA. Not with you skinny sons of bitches.,"I don't have to be afraid of that in LA, at least not for you."
Damn. Talk about your bad luck.,it's called bad luck.
I told him he was full of shit.,I told him he was talking.
"Fuck ""sorry.""","I'm sorry for ""sorry."""
"Don't you fucking get it, ya moron?","you don't get it, do you?"
"Denzel Washington saved J. Roberts twice, cleared her name... ...and didn't get any pussy from that bitch!","Denzel washington twice saved Julia, cleared her name, and she didn't give it to him!"
"So three days, you fucker!","three days, dude!"
"Stupid players. JEFF: At Tribal Council, Alicia, Rupert and Boston Rob were all at risk, but in the end,","Alicia, Rupert, and Rob were at risk on the tribal council, but Alicia was eventually excluded."
That bitch say she was coming?,did she say she was coming?
Fuck it. Whatever.,"okay, whatever."
"No, really, thank you for saving me from those crap cops.","no, really, thank you for saving me from the scoop."
"""Fuck off! Five years' training for this.",I've trained for five years.
Don't apologize. - Fuck.,don't be sorry.
But you don't have to take stupid risks.,but you can't take any chances.
"You said we were American? Oh, fuck!",did you tell them we were American?
It's $200 of shit.,200 dollars in droves.
With that shit?,with this thing?
"All your dreams came true, huh, moron?","you've done all your dreams, haven't you?"
Fucking... you're really good at this.,you're really good at this.
Check that shit out.,check it out.
These bastards I've been waiting for them!,I've been waiting for them!
You know what? Fuck him.,you know what?
You ain't gonna believe this shit.,you're not gonna believe this.
What a bunch of crap cases.,it's a hell of a lot of cases.
God! Just read the damn card.,"oh, God, read it."
You should have seen the look on that fuck's face!,you should have seen the look on his face.
Where's the stupid key?!,where's the keys?
You've got to trust me. - Shut up!,you have to trust me.
"Look at the way your crazy ass drive, then ask me again.","you better watch your way, then you can ask me again."
I'm not moving to the stupid city!,I'm not moving to any Hoboken town!
"No, and neither did you, -so shut up.","he didn't see, and neither did you."
I want to ask you something What? Fuck!,I want to ask you something.
"What the fuck, Charlie?","what is it, Charlie?"
Stupid thing won't start!,this thing's not going to start!
Did you see that shit?,did you see that?
What kind of idiot drinks decaf anyway?,"anyway, what does a magora drink without caffeine?"
I need that shit.,I don't need that.
She was standing over me when I was changing. You are so pathetic.,she was in the room when I was changing.
I found a whole case of this shit.,I found the whole case.
Just turn your damn phone off.,then switch off the cell phones.
"If you and I are gonna be friends, you need to learn some manners. Bitch.","if we're meant to be friends, you'll have to learn some manners."
I know shit-all about you.,I don't know about you.
It's his favorite thing in the world- that stupid ball.,that's his favorite thing in the world.
A little bit of this shit.,a little bit of that.
"I want some illumination now! - Stupid, fucking kid!",I want some lighting right now!
What the fuck are you talking about?!,what are you talking about?
"What a bitching car, man.","what a great car, man."
Fucking Glenn.,he's got Glenn.
"Of course I want you to visit, you idiot!",of course I want you to visit us!
I smell bullshit.,I feel bad.
"Ari, you've got the missus' best friend's dinner tonight. Oh, fuck.",you're having dinner with your wife's best friend.
That's what the fuck I'm talking about.,that's what I'm talking about.
Are we here? Losers!,are we here yet?
27 years! 27 years without this shit!,27 years... 27 years without intervention!
"That damn woman, she was somethin', huh?","that woman was something, wasn't it?"
"Shut up, fool!",it's quiet!
Is this the kind of retard that drools and rubs shit in his hair and all that?,is that the kind of thing that pops up and then it goes into your hair?
"""Fuck him,"" came the reply.","""never mind him,"" was his answer."
All those nights you were late back and stupid cow here thought you were out looking for ajob!,"all those evenings when you were home late, and I thought you were looking for a job!"
This is his damn house.,this house is his.
"My compliments, General. You've got what you deserve! A whore.","my compliments, General, you got what you wanted."
"What, you think I can just walk in and take this shit?",do you think I can just come and take it?
It should be me wearing that damn ring.,I should have worn that ring.
Fuck! Who is it?,who is he?
They really want something from you. Shit!,the guy really wants something from you.
Asshole brought a lot of shit down on us without getting exemption.,prick sent it on us without any warrant.
And thanks again to Fred and your friend... - Dammit!,thanks again to Fred and your friend.
"Give it to me, fuck!",give it to me!
Your plan sucks.,your plan is for nothing.
Where the fuck you going?,where are you going?
I saw it last time I was looking through this stupid...,I saw it last time I examined it.
"What the fuck, Carrie?","what was it, Carrie?"
"I warned you, asshole!","I warned you, boy!"
Answer the fucking question.,answer the question.
Why are you so worried about that stupid kid?,why do you care about this boy?
"What the fuck happened to you, Allen?","what happened to you, Allen?"
Some stupid mid-term party he wasn't invited to.,a mid-semester party that he wasn't invited to.
Kill our family.,even the families.
Same kind of shit you used to do for us.,the same thing you used to do for us.
Lifestyles of the rich and famous shit.,a lifestyle of rich and glory.
"OK, this town, these people, and all this fucked-up shit that seems like the end of the known world, it's all just a blip.","this city, these people and all those things that feel like the end of the world, it'll pass."
"Right now, the important thing is not to think about how stupid this is.","right now, he must not be thinking of what this is all about."
"You know, fuck this movie, E.","I don't care about the movie, E."
Yougirls eat like pigs.,you guys eat how you eat.
"What the fuck, dude?","what are you doing, mate?"
This is one of the bastards who came into our building.,he's one of those who came to us.
"Dad, I'm doing this because I love you: fuck you.","dad, I'm doing this because I love you."
"Go on, fuck off home!","go, go, go home!"
Where'd you get this shit?,where'd you get this?
"You wanna get up here and try and fucking do it, bitch?",you want to come up here and try?
"Watch out, lan! Fuck!","be careful, lan!"
Those aren't your goddamn tools. Blow me.,"hey, it's not your tools."
"Hey, man, you sold me that shit.","hey, you're the one who sold it to me."
Who the fuck are you talking to?,who do you think you're talking to?
"You've opened Pandora's box, you dumb prick, that's why.","you opened Pandora's box, that's why."
You know you want a piece of this Imperialist american ass.,you know you want a little of this conquering American piece.
Emergency summit with urban family... for coherent discussion of career crisis. Fuck 'em.,emergency meeting with friends... regarding discussions about a career crisis.
Her fucking Matt LeBlanc!,he'll deal with Matt LeBlanc!
Come on. We might need him. - Fuck!,"come on, we'll need him."
I can't believe you still watch this crap.,I don't believe you're still following this.
"Man, how do you know this shit's safe?","man, how do you know this is safe?"
Let me look at that shit.,let me take a look.
What the fuck you do that for?,why did you do that?
"I don't know. I wanted to hear your voice or something, which is idiotic.",I don't know. I wanted to hear your voice or something.
What's your problem? Suck me.,what's your problem?
The really big fuckers.,with the really big ones.
"""Get moving might"" actually be a good slogan for this damn thing.","""get a move"" would be a pretty good slogan."
Hold your damn horses!,bring your horses up!
Why bring that shit up?,why did you bring it here?
"Dammit Houston, we hear you.","Houston, we read you!"
"Hey, hey, listen to me, you scumbag.","hey, hey, listen to me!"
"You're the shit, man.","you're good, man."
I walked around for an hour with that stupid scotch on my tray.,I've been walking around here for an hour.
Her friends suck.,her friends are mine.
"Bullshit, I work here 3 years and I've never actually seen him, man.",I've worked here three years and I've never seen him before.
"Every station has people at the airport,... ..and no-one has heard a whisper ofthis shit!","every station in town has a lot of people in the city, and none of them have heard an anthem-from what you're telling me!"
"Yeah, I think we should just... Fuck off.","yeah, I think we should..."
A fucking Laurel and Hardy fucking family!,we're like Laurel and Hardy!
"Shut up, shut up.","quiet, quiet."
He'd be workin' on this shit day and night.,he worked on it day and night.
"Apparently, John Basilone did everything. - Oh, fuck you.",it seems that John Basilone is everything.
God damn it!,"oh, God."
"Dude, just wear the damn Pistons jersey.","dude, just take the Pistons on."
"Oh, just fuck off.","oh, just go."
"Son of a bitch, why don't you come back and try that again?",why don't you come back and try again?
"You know, fuck--",you know...
Not that American shit.,no American holdup.
What the fuck are you doing?,what are you doing out there?
"I make crap. Yes, but if you take that crap and put a star in it, then you've got something.","yes, but if you take the beige and put a star into it, you'll get something out of it."
I thought she was better than those bunch of morons she hung with.,I thought she was better than the guys on the team she was friends with.
But I'm in that stupid play.,but I play in it.
Damn it !,"oh, God."
It's just a stupid documentary I saw.,it's just one document I've seen.
"Get better fast, damn you.",you better get better quick.
Leave a fucking message.,leave a message.
Fuck off. Jep's found a theater for me.,Jep found a theater for me.
"How's Mammon crossing over, you half-breed piece of shit?","how does Mammon intend to pass, the semi-circle?"
Shut up.,"quiet, quiet."
"Move your ass, dude!","move it, man!"
You know how much this shit cost?,you know how much it cost?
Take a look at that shit.,take a look at this.
Fucking lights and shit everywhere.,"lights everywhere, man."
So don't worry about none of this shit.,then don't worry about it.
"What's this shit in your eyes, Renato?","what happened to your eyes, Renato?"
"Oh, Shit!","oh, my God."
Get a motor for this shit.,you have to get a motor.
"""Damn, girl.","""hello, girl!"
Enough! -Shut up!,that's enough!
"This is a stupid idea, Rainer, really.","what a bad idea, Rainer."
I think it's so stupid.,I think it's too bad.
Don't make any stupid moves!,don't take any reckless steps!
"Bullshit! You tell 'em, or I will.","either you tell them, or I will."
"But then, she doomed herself, and you were dumb enough to go after her.","but then she dismissed herself, and you went for her."
"""Michelangelo,"" ""Fanculo"" (fuck you), ""O sole mio.""","""Michelangelo,"" ""Fanculo"" ""O sole mio."""
"Yeah, we were going to give you your computer and phone back. Fuck you!","yeah, we'll give you your computer and the phone back."
And he keeps me up all night watchin' stupid old movies.,and he's still staring at old films.
"Fuck me, how long's it been?",how long has it been?
She doesn't know shit.,she doesn't know.
Same kind of shit you used to do for us.,the same thing you used to do.
What's the damn mayor doing here?,what's the mayor doing here?
Who the fuck are you texting with?,who are you writing with?
"After how you treat me like shit, now you want me to help you out giving you a car and shit?","first you weigh in on me, and then I'm supposed to help you and give you a car?"
"Just here to get my paycheck, shit.",I'm going to get my paycheck.
"Oh, shit! Back, back, back!","back, back, back!"
Just figured that out? Fuck it!,you figured that out now?
"Look at his fucking hobbies!""","look at his interests. """
"Fuck him, I told you.",I told you I was...
Why the Reichstag? Fuck him!,why the Reichsslew?
Shut up.,quiet!
"Jack, your brother... fuck...","Jack, your brother..."
"No, and neither did you, so shut up.","he didn't see, and neither did you."
Fuck you. - Where you goin'?,where are you going?
"I don't know what-- if you can't take something from that, then you're-- scum!","I don't know what-- if you can't learn from it, then you..."
Look out! - Shit!,watch out!
What were you dreaming about? Shit!,what were you dreaming about?
He knows what the fuck is up with that ship.,he knows what's going on with the ship.
'Cause that's all I am to you-- your whore!,'cause that's what I mean to you.
"God damn, J.T.","Jesus, JT."
"Okay, next. - Shit.","OK, next up."
You all need to hear this shit.,you have to hear this.
"But if there's even a chance that I didn't, you've got to sober up and go and see that son of a bitch.","but if there's a chance he wasn't, you have to sober up and go for the sweep."
"Hardy, what the fuck are you doing?","Hardy, what are you doing?"
You know what? Fuck it.,you know what?
"But, Jesus! Fuck!","oh, Jesus!"
"V, would you stop looking at that shit?","v, can you stop looking at that?"
Stupido! And I've a bachelor's taste for freedom.,and I have a youngster's fondness for freedom.
He's not in there. Fuck!,he's not there.
"'Oause if you don't do that shit, it's too fuckin' late.","because if you don't, it'll be too late."
"Oh, shit! Jesus!","oh, my God."
He's a stupid. Our plan is to enter the building from the front with a team of eight men... ...with an additional 12 men at perimeter positions.,our plan is to enter the building in the front with a team of 8-mi and 12 people in the perimeter.
"Dude, what's this shit?","what's in it, mate?"
As opposed to -- shut the fuck up.,as opposed to -- Hold on.
Think what the fuck you like.,you know what you like.
Sinclair know about this? Shit.,does Sinclair know about this?
"The fuck, tell me, what is this all.",so tell me what it is all about.
"Fuck you too, Rudy.","you too, Rudy."
Even me and this idiot paid 10 bucks each to see the world's biggest anthill.,even me and this little guy paid 10 bucks to see the biggest anthill.
"I'm a bit behind than the other girls, but being an idiot that you are, you won't understand what I mean, will you?","I'm behind the other girls, but they don't really understand what I mean, do they?"
"Damn, Angela... Why are you doing this to me?",why are you doing this to me?
"What the fuck happened to you, man?",what happened to you?
"Dave's got, like, a billion stupid kids, and Slider's a",Dave has such a trillion kids and Slider is now
"What are you, a damn artist?","what do you think you are, an artist?"
Fuck! What do you got?,what have you got there?
My family trusted you. Shut up!,my family trusted you.
"And that's the way it went down, man. Shit.","and that's how it happened, man."
She's going for her damn Ph.D.,she's preparing for a doctorate.
"Fuck me, Alex!","do it, Alex!"
"""Na-na-na-na, na-na-nah. "" Fuck off.","""NA-na-na, na-na-na-nah."""
"She's working for the fucking people who took your picture, man.",he works for those who took your picture!
"You put that kid in a fucking coma, Sal.","you know the boy is in a coma, Sal."
"I didn't do it on purpose, you idiot.",I didn't do it on purpose.
"Mrs. Dr. P-- aka your wife for the past 15 years, aka suck it!",Dr. P... your wife... you've lived together for 15 years... and experience it!
We know Hamilton's boys are selling that shit down at the casino.,"however, we know it was sold to Hamilton people in the casino."
"Trust your father-in-law, dammit!",trust your father-in-law!
"Ooh, Joey, why did you sign it, ""son of a bitch""?","Joey, why did you sign up like a ""sty""?"
What the fuck are you waiting for.,what are you waiting for?
It's how they know where I live. Shit.,that's why they knew where I lived.
Goddamn you!,"oh, my God."
Put down the goddamn phone!,give me the phone!
"Listen, I found out some fucked-up shit about Rick.","listen, I got some things on Rick."
Who the fuck you say you were?,who did you say you were?
Go the fuck move back there.,then go back there.
If we were gonna have someone in a bear costume why would we actually have it be Muhammad you fucking idiot.,"if we have someone in costume, why should he be the real Mohammed?"
"What'd you say your name was? You're dead, fucker.",what did you say your name was?
Thorne rendered her a slightly idiotic bow.,Thorne bowed slightly to her.
Remember that shit?,do you remember that hummus?
"Garry, wait. Shit.","Gary, wait."
This is just another example of why Yellowstone is our country's greatest National Park. Son of a bitch!,this is just another example of why Yellowstone is our biggest national park.
You're a damn high school science teacher.,you were just teaching a science class in high school.
Where is that damn baby?,where's the baby?
Dumb heads!,heads up!
Fucking God!,"oh, my God!"
"Watch your ass, folks!","watch it, guys!"
All you've done since you discovered this stupid element was complain.,you've just complained since you discovered it.
They thought they could come across the roofs and scare the dumb brownjobs.,"""they thought they'd come in on the roof and play a little."
"Stupid, she's not his wife.",that's not his wife.
What the fuck are you talking about?,what are you talking about?
Do you believe that crap?,can you believe it?
Get him! Fuck him up!,give it to him!
"No, it was a stupid idea.","no, it was a bad idea."
Fuck you. She wants to help us.,he's trying to help us!
Would you do that shit?,would you do it?
I know he didn't qualify that shit.,I know he didn't appreciate this.
the mayor of Jersey City... - I know who the fuck he is.,"Frank Hague, the mayor of Jersey City."
My daughter is having baby - Shut the fuck up!,the daughter's having a baby!
"Did the fuckers follow you, man?",did anyone follow you?
What is this shit?,what's this?
Fucking Christ!,"oh, my God!"
You really want to see that bag? Damn!,do you really want to see the bag?
"Come on. Fuck, come on.","come on, come on!"
"Where the fuck arel you, Manuel?","where are you, Manuel?"
And fuck your family!,you and your whole family!
This is good shit.,this is good stuff.
And you throw our money away on a stupid bet?,and you throw our money out for a simple wager?
And I think the asshole's married.,and I think he's married.
"That's 3.8 million in a week, and that's taking Sunday off for a little prayer, okay? - Can you believe that shit?","that's $3.8 million a week, and you're taking Sunday off so you can go to church."
Where'd you learn that shit?,where'd you learn this?
"My wife is a slut. I, personally, don't believe in that word.","personally, I don't believe the word."
"No, and neither did you, - so shut up.","he didn't see, and neither did you."
What the fuck do you know about depression?,what do you know about depression?
Just back me up and do your damn job!,"this is your job too, so back me up!"
"Do you know that asshole, Kim?","you know Kim, right?"
"Hello, idiot.","hello, Elliot."
Say some shit.,just say something.
Fucking nurse. - What've you got?,so what do you have?
Monica... she fucked a brother.,Monica...... the brother.
Would you do that shit?,would you do what you're saying?
"Jesus, who wrote this shit?","God, who's making this up?"
She would tell you that I fall more into the idiot-man-child category.,she'd say I'm going to fall into the first category.
"Ah, fuck. - Jesus.","oh, my God."
"So tonight I figured the dumb fuck might come back, and sure enough, there he is.","so I guess he'll come back and certainly, here he is."
"Johnson, I like you, but fuck off.","Johnson, I love you."
I can't believe this crap.,I don't believe it.
Some fucking friend you are.,you're a good friend.
Fucking commercial runs on a loop in the lobby where she works.,it ran in a loop in the lobby at her office.
"A few months ago, you traded me your office for that stupid swimming pool bill.",she changed her office a few months ago for the pool law.
"Come on, bitch!","come on, man!"
Ask him if I can leave - Shut up!,ask him if I can leave.
I told you they'd handle this shit.,I told you we could do it.
"You screw up, you'll be flying a cargo plane full of rubber dog-shit.","if you make something out there, you'll fly with cargo planes filled with blanks."
Suck it! And who have we here?,and who do we have here?
Emerson. Shit.,Emerson!
Here comes every lunatic in California.,there's all the guys from California.
"Jerry Rice, Andre Reed, Chris Carter. I smoked all these fools!","Jerry Rioe, Andre Reed, Chris Carter, no one's on me!"
I told Fuck them!,I told Nasrat!
Take a fucking seat.,sit down. Sit down.
"If you want something more from me than a gesundheit after a sneeze, you have to do more than this shit.","if you want anything more than a greeting to God for a nod, you have to do more than that."
"What the fuck ,man ?","what's up, man?"
"Oh, how could I have thought that? Stupid.","oh, how could I think such a thing?"
You know how much this stupid thing costs?,do you know how much it cost?
After how that bitch treated you?,after how she treated you?
Crawford has the whole damn government.,Crawford has the entire government.
"And there it goes, Abby's fantastic ass.","here she is, Abby's fantastic background!"
Where's Emil Brandt? - Fuck you!,where's Emil Brandt?
"One, two, three, kick ass!","one, two, three, line up!"
You like it? Damn it!,do you like it?
Idiot! You still there?,are you there?
"Of course I'm sure, you idiot!",of course I'm sure.
"Your wife's gonna love this shit, Frankie.","your wife is gonna love this, Frankie."
You're one of them motherfuckers.,"you know, you're one of them."
"I told you, I hatedworking for that jackass.","I told you, I'm the one who's working for the tulip."
God damn!,"oh, Christ!"
You know that shit.,you know that.
What are you waiting for? Kill him!,what are you waiting for?
I taught some of the stupidest children God ever put on this earth.,I taught some of the most simple children God has ever created.
Found a whole case of this shit.,I found the whole case.
"Fuck! What, ruin the surprise?",and spoil the surprise?
Where did a jerk like youget a machine like that?,where do you think you can get a machine like that?
Who the fuck is Beth Mackey?,who's Beth Mackey?
At least the son of a bitch left me breakfast.,but at least he kept me breakfast.
We have got to do something about that damn dog.,we have to do something about the missing dog.
There's no other firm selling this shit.,no one else is selling it.
What am I gonna do with that piece of crap?,what would I do with the ashtray?
And what will soon be the center for all studies. You shit!,"bill, leave him!... and it will be the center for all studios soon."
"Fuck you, I'm worried about the kid.",I'm worried about the baby.
It's chasing without the stupid running.,it's a chase without running.
You idiot- You should have just spoken to him.,you should have talked to him.
